Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 645, LB: 15627470.288719285, (exp UB:47724677.408973105),  Gap: 67.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 677, LB: 15627470.288719285, (exp UB:42260719.09833319),  Gap: 63.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 708, LB: 15627470.288719285, (exp UB:42225177.86451182),  Gap: 62.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 741, LB: 15627470.288719285, (exp UB:33218021.775941715),  Gap: 52.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 772, LB: 15627470.288719285, (exp UB:30193409.85726266),  Gap: 48.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 804, LB: 15627470.288719285, (exp UB:30199406.357065767),  Gap: 48.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 835, LB: 15627470.288719285, (exp UB:30262038.480783526),  Gap: 48.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 866, LB: 15627470.288719285, (exp UB:42266695.16425876),  Gap: 63.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 900, LB: 15627470.288719285, (exp UB:32935046.82457861),  Gap: 52.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 931, LB: 15627470.288719285, (exp UB:29724937.18628929),  Gap: 47.43,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 1027, LB: 15627562.858964581, (exp UB:16289307.512488957),  Gap: 4.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 1100, LB: 15627729.59906458, (exp UB:16289418.255880484),  Gap: 4.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 1170, LB: 15627562.865964573, (exp UB:18161243.44882558),  Gap: 13.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 1231, LB: 15627570.563637434, (exp UB:16260307.118530868),  Gap: 3.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 1292, LB: 15627705.426822903, (exp UB:18620455.656233054),  Gap: 16.07,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 1371, LB: 15627806.582116663, (exp UB:14471819.69184941),  Gap: -7.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 1425, LB: 15627969.788929168, (exp UB:18876990.63475486),  Gap: 17.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 1527, LB: 15627744.534947919, (exp UB:16217790.911179343),  Gap: 3.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 1592, LB: 15627699.30502084, (exp UB:17972374.990083113),  Gap: 13.05,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 1668, LB: 15627699.694822926, (exp UB:17221300.245193124),  Gap: 9.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 1752, LB: 15627714.601020826, (exp UB:15668403.746688528),  Gap: 0.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 1835, LB: 15627707.422087504, (exp UB:17452323.760063417),  Gap: 10.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 1931, LB: 15627705.156489592, (exp UB:17501952.074146733),  Gap: 10.71,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 2024, LB: 15627853.239835415, (exp UB:17959504.177526552),  Gap: 12.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 2118, LB: 15627719.549125008, (exp UB:14887632.29672989),  Gap: -4.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 2204, LB: 15627755.354947917, (exp UB:17966297.81495174),  Gap: 13.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 2285, LB: 15627753.663079163, (exp UB:14471843.458635252),  Gap: -7.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 2366, LB: 15627714.799822923, (exp UB:14398925.824701596),  Gap: -8.53,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 2502, LB: 15627691.602104167, (exp UB:14969703.96320069),  Gap: -4.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 2590, LB: 15627795.345762508, (exp UB:15803105.578213414),  Gap: 1.11,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 2720, LB: 15627721.815079167, (exp UB:14687749.414070712),  Gap: -6.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 2839, LB: 15627623.648381248, (exp UB:14844568.310655285),  Gap: -5.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 2977, LB: 15627744.798695834, (exp UB:14963125.28948612),  Gap: -4.44,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 3299, LB: 15628051.849491663, (exp UB:15361982.918523256),  Gap: -1.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 3472, LB: 15627749.16708751, (exp UB:15032457.303020477),  Gap: -3.96,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 3660, LB: 15627571.012303235, (exp UB:17965462.950882066),  Gap: 13.01,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 4008, LB: 15627724.7040875, (exp UB:14739779.766924452),  Gap: -6.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 4220, LB: 15627780.907487506, (exp UB:14453368.639662825),  Gap: -8.13,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 4513, LB: 15627905.160702283, (exp UB:14887714.675044544),  Gap: -4.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 4708, LB: 15627951.562993743, (exp UB:15547066.298825596),  Gap: -0.52,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 4908, LB: 15627631.680270834, (exp UB:18793548.802137513),  Gap: 16.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 5190, LB: 15627607.745297914, (exp UB:18848441.219251614),  Gap: 17.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 5366, LB: 15627803.570985416, (exp UB:14847053.676716188),  Gap: -5.26,  Fixed x: False,  Fixed thetavar: False  
