Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 720, LB: 10076720.167318832, (exp UB:46502442.220070705),  Gap: 78.33,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 768, LB: 10076720.167318832, (exp UB:41863196.87618418),  Gap: 75.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 810, LB: 10076720.167318832, (exp UB:58340984.27104547),  Gap: 82.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 873, LB: 10076720.167318832, (exp UB:57510996.98818432),  Gap: 82.48,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 912, LB: 10076720.167318832, (exp UB:43339942.359739),  Gap: 76.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 987, LB: 10076720.167318832, (exp UB:61168796.96398783),  Gap: 83.53,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 1023, LB: 10076720.167318832, (exp UB:58113099.02691627),  Gap: 82.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 1055, LB: 10076720.167318832, (exp UB:62364571.59655662),  Gap: 83.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 1093, LB: 10076720.167318832, (exp UB:42690268.938123554),  Gap: 76.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 1127, LB: 10076720.167318832, (exp UB:62268617.62270058),  Gap: 83.82,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 1310, LB: 10076955.524459727, (exp UB:5580955.958111804),  Gap: -80.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 1382, LB: 10077495.873641815, (exp UB:6786306.995444228),  Gap: -48.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 1450, LB: 10076817.251736505, (exp UB:5457400.813814311),  Gap: -84.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 1517, LB: 10076845.399897221, (exp UB:5939889.01053579),  Gap: -69.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 1598, LB: 10076943.358711805, (exp UB:5168433.00352647),  Gap: -94.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 1666, LB: 10076838.914709724, (exp UB:6970901.193814836),  Gap: -44.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 1736, LB: 10076860.932944529, (exp UB:6962689.956107534),  Gap: -44.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 1809, LB: 10076942.44442361, (exp UB:5707161.816905148),  Gap: -76.57,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 1879, LB: 10076873.588833813, (exp UB:5241765.454088189),  Gap: -92.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 1963, LB: 10077272.255925652, (exp UB:6194042.795888017),  Gap: -62.69,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 2049, LB: 10077015.698605556, (exp UB:5636316.080379717),  Gap: -78.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 2133, LB: 10076883.713945203, (exp UB:6926799.934767934),  Gap: -45.48,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 2201, LB: 10076864.769584099, (exp UB:6951870.272522559),  Gap: -44.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 2275, LB: 10077009.396024412, (exp UB:5851206.374764233),  Gap: -72.22,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 2356, LB: 10076943.358711803, (exp UB:5492252.943314698),  Gap: -83.48,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 2431, LB: 10076895.385785598, (exp UB:6744400.58071071),  Gap: -49.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 2505, LB: 10077039.32122188, (exp UB:7149367.022674786),  Gap: -40.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 2579, LB: 10077198.36528803, (exp UB:5327891.680099344),  Gap: -89.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 2659, LB: 10077760.441469308, (exp UB:6032432.488412537),  Gap: -67.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 2740, LB: 10076902.269060172, (exp UB:5382567.339163132),  Gap: -87.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 2825, LB: 10077569.070628814, (exp UB:5765533.785416536),  Gap: -74.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 2902, LB: 10077606.826441538, (exp UB:6194363.5853956975),  Gap: -62.69,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 2987, LB: 10077731.602175267, (exp UB:5763510.227843195),  Gap: -74.85,  Fixed x: False,  Fixed thetavar: False  
