Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 40, LB: 1788974.5134543963, (exp UB:95179763.11648147),  Gap: 98.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 45, LB: 1788974.5134543963, (exp UB:97264483.16305229),  Gap: 98.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 49, LB: 1788974.5134543963, (exp UB:127167899.4844832),  Gap: 98.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 54, LB: 1788974.5134543963, (exp UB:126713025.82916445),  Gap: 98.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 59, LB: 1788974.5134543963, (exp UB:114408362.42385532),  Gap: 98.44,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 64, LB: 1788974.5134543963, (exp UB:93061869.37456675),  Gap: 98.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 69, LB: 1788974.5134543963, (exp UB:89123209.4355816),  Gap: 97.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 74, LB: 1788974.5134543963, (exp UB:125896218.95827888),  Gap: 98.58,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 79, LB: 1788974.5134543963, (exp UB:95181330.67241226),  Gap: 98.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 84, LB: 1788974.5134543963, (exp UB:114404052.28797956),  Gap: 98.44,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 100, LB: 1788975.1066208326, (exp UB:2859164.542582296),  Gap: 37.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 106, LB: 1788987.3974542322, (exp UB:4567033.106112247),  Gap: 60.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 113, LB: 1788975.1140279209, (exp UB:2286096.666437867),  Gap: 21.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 120, LB: 1788975.1146208341, (exp UB:2899889.715699151),  Gap: 38.31,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 128, LB: 1788975.1216208327, (exp UB:629348.5769326068),  Gap: -184.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 135, LB: 1788977.6607685129, (exp UB:1493988.848157346),  Gap: -19.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 142, LB: 1788975.1214043722, (exp UB:1688897.6839501965),  Gap: -5.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 150, LB: 1788975.1225503674, (exp UB:2793170.629653714),  Gap: 35.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 157, LB: 1788992.0617932505, (exp UB:1007657.833585912),  Gap: -77.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 165, LB: 1788986.9629646554, (exp UB:2450181.551241804),  Gap: 26.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 172, LB: 1788985.9206901016, (exp UB:1260370.4620182917),  Gap: -41.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 181, LB: 1788976.1622523952, (exp UB:2901671.184518897),  Gap: 38.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 189, LB: 1788975.2142607954, (exp UB:1008017.3963245638),  Gap: -77.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 198, LB: 1788975.217216929, (exp UB:2799719.00401253),  Gap: 36.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 207, LB: 1789026.210447216, (exp UB:1495387.6913456942),  Gap: -19.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 220, LB: 1789230.8898565061, (exp UB:1008744.1057116735),  Gap: -77.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 232, LB: 1789304.7042821222, (exp UB:1262485.6808621308),  Gap: -41.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 246, LB: 1789484.9815803154, (exp UB:3954228.8526197355),  Gap: 54.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 259, LB: 1789512.9113741613, (exp UB:629795.8017320759),  Gap: -184.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 273, LB: 1789425.6544990686, (exp UB:4208449.136241493),  Gap: 57.48,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 287, LB: 1789530.177254367, (exp UB:3356359.791191233),  Gap: 46.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 315, LB: 1789948.674140383, (exp UB:974269.2536612598),  Gap: -83.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 344, LB: 1790023.616791661, (exp UB:1008908.0667469361),  Gap: -77.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 362, LB: 1790124.7561277484, (exp UB:2901114.715548606),  Gap: 38.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 378, LB: 1790178.8048942904, (exp UB:1265235.1043572454),  Gap: -41.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 394, LB: 1790288.6506684022, (exp UB:633618.3378552252),  Gap: -182.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 411, LB: 1790291.7728020323, (exp UB:1089667.1767232735),  Gap: -64.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 444, LB: 1790527.7736599112, (exp UB:1009471.7367239277),  Gap: -77.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 462, LB: 1790522.6636644325, (exp UB:635962.5012632203),  Gap: -181.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 481, LB: 1790900.6702733692, (exp UB:1261978.4635273123),  Gap: -41.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 501, LB: 1790837.729759092, (exp UB:3354361.3555834605),  Gap: 46.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 522, LB: 1791426.7537125999, (exp UB:1009642.0592634773),  Gap: -77.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 545, LB: 1791880.4447649957, (exp UB:3047788.2519918308),  Gap: 41.21,  Fixed x: False,  Fixed thetavar: False  
