Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: False 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 65, LB: 2108311.9674083334, (exp UB:3059766.9899451435),  Gap: 31.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 73, LB: 2108311.993408333, (exp UB:3353600.154215633),  Gap: 37.13,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 82, LB: 2108311.97547656, (exp UB:2488257.842718661),  Gap: 15.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 90, LB: 2108321.6160869077, (exp UB:1263473.6442434709),  Gap: -66.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 99, LB: 2108311.978339833, (exp UB:1856724.7267978028),  Gap: -13.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 108, LB: 2108312.4587845067, (exp UB:2974228.5287396032),  Gap: 29.11,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 117, LB: 2108311.981510964, (exp UB:2973512.203960863),  Gap: 29.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 126, LB: 2108311.9831485245, (exp UB:1009078.8921762184),  Gap: -108.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 136, LB: 2108311.980644218, (exp UB:1855433.3942331295),  Gap: -13.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 146, LB: 2108312.012785578, (exp UB:3048184.6042533657),  Gap: 30.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 156, LB: 2108312.026756349, (exp UB:1146501.804950972),  Gap: -83.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 167, LB: 2108312.024304267, (exp UB:1010463.0039168906),  Gap: -108.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 180, LB: 2108453.829567209, (exp UB:2978668.2292273897),  Gap: 29.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 198, LB: 2108419.946541465, (exp UB:2913114.9837342314),  Gap: 27.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 219, LB: 2108654.6180601036, (exp UB:1857219.7701661862),  Gap: -13.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 235, LB: 2108641.162697351, (exp UB:2973195.4775727224),  Gap: 29.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 253, LB: 2108754.8887741086, (exp UB:867091.0048941774),  Gap: -143.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 274, LB: 2108843.40399822, (exp UB:3664981.891189191),  Gap: 42.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 293, LB: 2109078.0192484017, (exp UB:2454231.610117756),  Gap: 14.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 319, LB: 2109181.13583384, (exp UB:2976790.802003414),  Gap: 29.15,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 359, LB: 2109405.052516992, (exp UB:1081451.2909251936),  Gap: -95.05,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 398, LB: 2109408.5857073804, (exp UB:3178216.862393509),  Gap: 33.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 444, LB: 2109437.4557638643, (exp UB:3661262.78084027),  Gap: 42.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 489, LB: 2109418.525460894, (exp UB:1080844.1436755932),  Gap: -95.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 521, LB: 2109453.4337640633, (exp UB:1267325.0365699565),  Gap: -66.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 567, LB: 2109451.780411306, (exp UB:1011008.7927635915),  Gap: -108.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 592, LB: 2109440.119105434, (exp UB:1860680.1034107527),  Gap: -13.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 623, LB: 2109484.9373505227, (exp UB:3662268.4994992707),  Gap: 42.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 648, LB: 2109516.233193099, (exp UB:3662134.1570404517),  Gap: 42.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 683, LB: 2109593.371245511, (exp UB:866872.5935993525),  Gap: -143.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 712, LB: 2109680.2560410737, (exp UB:2456193.8765250733),  Gap: 14.11,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 773, LB: 2109759.48191048, (exp UB:3054644.9724423075),  Gap: 30.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 802, LB: 2109762.3231663457, (exp UB:1858742.265033768),  Gap: -13.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 833, LB: 2109873.7874051286, (exp UB:1009939.5503784927),  Gap: -108.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 866, LB: 2110101.004667018, (exp UB:3051714.2257677927),  Gap: 30.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 896, LB: 2110187.9015648183, (exp UB:1084274.9602008695),  Gap: -94.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 948, LB: 2110586.6378547824, (exp UB:2455891.240115275),  Gap: 14.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 975, LB: 2110447.835987705, (exp UB:1012117.8637805453),  Gap: -108.52,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 1006, LB: 2110577.0807245625, (exp UB:3048106.191570065),  Gap: 30.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 1063, LB: 2110801.0742475106, (exp UB:2978115.804148197),  Gap: 29.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 1094, LB: 2110609.6757639023, (exp UB:1856951.434119073),  Gap: -13.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 1131, LB: 2110821.588334568, (exp UB:2455337.826080624),  Gap: 14.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 1188, LB: 2111027.4469265654, (exp UB:3673806.817071533),  Gap: 42.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 1219, LB: 2110999.9186621634, (exp UB:1012449.3311392855),  Gap: -108.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 1251, LB: 2111956.0467130886, (exp UB:869581.311349922),  Gap: -142.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 1282, LB: 2112121.4039183417, (exp UB:2453305.191489634),  Gap: 13.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 1319, LB: 2112372.4440762633, (exp UB:1861014.4389661727),  Gap: -13.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 1362, LB: 2112393.048429327, (exp UB:1863296.390989421),  Gap: -13.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 1398, LB: 2112468.67118123, (exp UB:1269386.2108756597),  Gap: -66.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 50, Duration: 1462, LB: 2112663.1595695885, (exp UB:2454860.2908896143),  Gap: 13.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 51, Duration: 1528, LB: 2112914.412315718, (exp UB:2979421.660672102),  Gap: 29.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 52, Duration: 1573, LB: 2112977.3800402107, (exp UB:3049733.4182186616),  Gap: 30.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 53, Duration: 1613, LB: 2113210.9784062896, (exp UB:1860068.8502659046),  Gap: -13.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 54, Duration: 1650, LB: 2113232.7545463163, (exp UB:2458500.309085279),  Gap: 14.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 55, Duration: 1692, LB: 2113243.5604917062, (exp UB:2976694.1269572396),  Gap: 29.01,  Fixed x: False,  Fixed thetavar: False  
