Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 5560, LB: 4882406.448164853, (exp UB:4880945.205746032),  Gap: -0.03,  Fixed x: True,  Fixed thetavar: True  
Change stage 1 problem to integer 
Iteration: 2, Duration: 5593, LB: 4882343.464449942, (exp UB:4881048.5822057985),  Gap: -0.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 3, Duration: 5625, LB: 4882343.58847324, (exp UB:4885564.003868784),  Gap: 0.07,  Fixed x: True,  Fixed thetavar: True  
Iteration: 4, Duration: 5656, LB: 4882343.62550295, (exp UB:5372301.3566204365),  Gap: 9.12,  Fixed x: True,  Fixed thetavar: True  
Iteration: 5, Duration: 5689, LB: 4882343.924642935, (exp UB:4885501.424036631),  Gap: 0.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 6, Duration: 5728, LB: 4883692.885842595, (exp UB:5015191.776315133),  Gap: 2.62,  Fixed x: True,  Fixed thetavar: True  
Iteration: 7, Duration: 5791, LB: 4970011.774930434, (exp UB:5582077.771774069),  Gap: 10.96,  Fixed x: True,  Fixed thetavar: True  
Iteration: 8, Duration: 5857, LB: 4970644.422797381, (exp UB:5367730.734355293),  Gap: 7.40,  Fixed x: True,  Fixed thetavar: True  
Iteration: 9, Duration: 5926, LB: 4971623.506359061, (exp UB:5180011.065707581),  Gap: 4.02,  Fixed x: True,  Fixed thetavar: True  
Iteration: 10, Duration: 5998, LB: 4974500.146963391, (exp UB:5243628.136270852),  Gap: 5.13,  Fixed x: True,  Fixed thetavar: True  
Iteration: 11, Duration: 6093, LB: 4975032.521570908, (exp UB:5222442.155259352),  Gap: 4.74,  Fixed x: True,  Fixed thetavar: True  
Iteration: 12, Duration: 6177, LB: 4975248.396135887, (exp UB:5525160.039675975),  Gap: 9.95,  Fixed x: True,  Fixed thetavar: True  
Iteration: 13, Duration: 6272, LB: 4975398.608675325, (exp UB:5469672.481305424),  Gap: 9.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 14, Duration: 6480, LB: 4975698.192313777, (exp UB:5464596.297542128),  Gap: 8.95,  Fixed x: True,  Fixed thetavar: True  
Iteration: 15, Duration: 6662, LB: 4976277.363835602, (exp UB:5103632.834009783),  Gap: 2.50,  Fixed x: True,  Fixed thetavar: True  
Iteration: 16, Duration: 6753, LB: 4976092.672133626, (exp UB:5090638.259848714),  Gap: 2.25,  Fixed x: True,  Fixed thetavar: True  
Iteration: 17, Duration: 6844, LB: 4976448.092952257, (exp UB:5611186.207125566),  Gap: 11.31,  Fixed x: True,  Fixed thetavar: True  
Iteration: 18, Duration: 7082, LB: 4976854.408476798, (exp UB:6301952.792323796),  Gap: 21.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 19, Duration: 7149, LB: 4976939.850210617, (exp UB:4907981.072896522),  Gap: -1.41,  Fixed x: True,  Fixed thetavar: True  
Iteration: 20, Duration: 7340, LB: 4976991.041194458, (exp UB:4918441.118649097),  Gap: -1.19,  Fixed x: True,  Fixed thetavar: True  
Iteration: 21, Duration: 7431, LB: 4978464.992274541, (exp UB:6055188.527743972),  Gap: 17.78,  Fixed x: True,  Fixed thetavar: True  
Iteration: 22, Duration: 7513, LB: 5135253.98729662, (exp UB:6126415.687439786),  Gap: 16.18,  Fixed x: True,  Fixed thetavar: True  
Iteration: 23, Duration: 7613, LB: 5135547.33354191, (exp UB:5758229.175257494),  Gap: 10.81,  Fixed x: True,  Fixed thetavar: True  
Iteration: 24, Duration: 7704, LB: 5136373.148211375, (exp UB:5287747.514089493),  Gap: 2.86,  Fixed x: True,  Fixed thetavar: True  
Iteration: 25, Duration: 7800, LB: 5136515.200421053, (exp UB:4993890.288311191),  Gap: -2.86,  Fixed x: True,  Fixed thetavar: True  
Iteration: 26, Duration: 7919, LB: 5137349.3445146615, (exp UB:4915525.894883254),  Gap: -4.51,  Fixed x: True,  Fixed thetavar: True  
Iteration: 27, Duration: 8019, LB: 5137498.798573568, (exp UB:4935253.332159896),  Gap: -4.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 28, Duration: 8114, LB: 5138073.232126699, (exp UB:5340912.983707159),  Gap: 3.80,  Fixed x: True,  Fixed thetavar: True  
Iteration: 29, Duration: 8238, LB: 5138382.873180314, (exp UB:5366372.336052487),  Gap: 4.25,  Fixed x: True,  Fixed thetavar: True  
