Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 44, LB: 106694.56891095982, (exp UB:55529895.77462898),  Gap: 99.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 49, LB: 106694.56891095982, (exp UB:61635416.76148595),  Gap: 99.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 54, LB: 106694.56891095982, (exp UB:58540137.34398981),  Gap: 99.82,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 59, LB: 106694.56891095982, (exp UB:60835879.44604152),  Gap: 99.82,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 65, LB: 106694.56891095982, (exp UB:56092810.4248331),  Gap: 99.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 70, LB: 106694.56891095982, (exp UB:51918184.372069485),  Gap: 99.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 76, LB: 106694.56891095982, (exp UB:54249469.74167227),  Gap: 99.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 81, LB: 106694.56891095982, (exp UB:62321851.54978562),  Gap: 99.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 86, LB: 106694.56891095982, (exp UB:53216140.72996616),  Gap: 99.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 91, LB: 106694.56891095982, (exp UB:59990370.513987415),  Gap: 99.82,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 103, LB: 106694.92464722226, (exp UB:106826.11462638888),  Gap: 0.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 110, LB: 106694.92595531628, (exp UB:107491.4971969311),  Gap: 0.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 116, LB: 106694.92737864284, (exp UB:111873.57039084389),  Gap: 4.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 123, LB: 106694.92738827594, (exp UB:107153.61822199586),  Gap: 0.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 130, LB: 106694.92890951679, (exp UB:110262.11732844372),  Gap: 3.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 137, LB: 106694.92894939285, (exp UB:107185.3963543401),  Gap: 0.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 144, LB: 106694.92898633874, (exp UB:107445.718935535),  Gap: 0.70,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 152, LB: 106694.92896081058, (exp UB:108589.2373334219),  Gap: 1.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 160, LB: 106695.1646472055, (exp UB:239003.3793580563),  Gap: 55.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 168, LB: 106695.14436220193, (exp UB:107560.16603271381),  Gap: 0.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 176, LB: 106695.30197292846, (exp UB:309726.8787986279),  Gap: 65.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 183, LB: 106742.46984600634, (exp UB:108973.3474314535),  Gap: 2.05,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 192, LB: 106915.4214827115, (exp UB:107355.25973064685),  Gap: 0.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 376, LB: 107144.83334375154, (exp UB:107229.66347990873),  Gap: 0.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 384, LB: 107690.02301032137, (exp UB:108225.2061602942),  Gap: 0.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 393, LB: 107811.10938368244, (exp UB:108539.74115773721),  Gap: 0.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 401, LB: 108131.21868494166, (exp UB:109305.88121249157),  Gap: 1.07,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 410, LB: 108337.72180397763, (exp UB:109423.66163367842),  Gap: 0.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 419, LB: 108340.93703113092, (exp UB:109313.14631481437),  Gap: 0.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 429, LB: 108340.94202573177, (exp UB:190624.2475114385),  Gap: 43.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 438, LB: 108341.0369933869, (exp UB:111381.54886918148),  Gap: 2.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 447, LB: 108439.34828934103, (exp UB:109488.2399538381),  Gap: 0.96,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 457, LB: 108637.14811303162, (exp UB:109155.10976482218),  Gap: 0.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 467, LB: 108825.54730598704, (exp UB:111425.8442438159),  Gap: 2.33,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 477, LB: 108826.24009441547, (exp UB:112634.60691059436),  Gap: 3.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 488, LB: 108828.09461265226, (exp UB:117582.89500093723),  Gap: 7.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 498, LB: 108826.36109510918, (exp UB:109356.10762399402),  Gap: 0.48,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 509, LB: 109135.66673699407, (exp UB:115823.32379150813),  Gap: 5.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 519, LB: 109135.71305478475, (exp UB:116317.08351016634),  Gap: 6.17,  Fixed x: False,  Fixed thetavar: False  
