Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 2862, LB: 4887724.598869361, (exp UB:5647767.421073941),  Gap: 13.46,  Fixed x: True,  Fixed thetavar: True  
Iteration: 2, Duration: 2877, LB: 4888082.938742996, (exp UB:5196717.834353049),  Gap: 5.94,  Fixed x: True,  Fixed thetavar: True  
Iteration: 3, Duration: 2897, LB: 4992537.817798827, (exp UB:4913758.466650288),  Gap: -1.60,  Fixed x: True,  Fixed thetavar: True  
Change stage 1 problem to integer 
Iteration: 4, Duration: 2943, LB: 4915204.370768474, (exp UB:5909283.845224494),  Gap: 16.82,  Fixed x: True,  Fixed thetavar: True  
Iteration: 5, Duration: 3003, LB: 4916844.176088248, (exp UB:9209563.322358515),  Gap: 46.61,  Fixed x: True,  Fixed thetavar: True  
Iteration: 6, Duration: 3065, LB: 4917099.446202731, (exp UB:5589844.124597869),  Gap: 12.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 7, Duration: 3093, LB: 4919140.9237089725, (exp UB:4908844.667826609),  Gap: -0.21,  Fixed x: True,  Fixed thetavar: True  
Iteration: 8, Duration: 3161, LB: 4926112.212598875, (exp UB:5741309.741594404),  Gap: 14.20,  Fixed x: True,  Fixed thetavar: True  
Iteration: 9, Duration: 3195, LB: 4926603.150964573, (exp UB:5272992.903281615),  Gap: 6.57,  Fixed x: True,  Fixed thetavar: True  
Iteration: 10, Duration: 3236, LB: 4931629.236671215, (exp UB:6196816.299643867),  Gap: 20.42,  Fixed x: True,  Fixed thetavar: True  
Iteration: 11, Duration: 3306, LB: 4937122.494782141, (exp UB:4902001.980341448),  Gap: -0.72,  Fixed x: True,  Fixed thetavar: True  
Iteration: 12, Duration: 3354, LB: 4942186.015347001, (exp UB:6248029.604781422),  Gap: 20.90,  Fixed x: True,  Fixed thetavar: True  
Iteration: 13, Duration: 3409, LB: 4948145.411940876, (exp UB:5367953.061888606),  Gap: 7.82,  Fixed x: True,  Fixed thetavar: True  
Iteration: 14, Duration: 3481, LB: 4955074.333102597, (exp UB:7711812.979234506),  Gap: 35.75,  Fixed x: True,  Fixed thetavar: True  
Iteration: 15, Duration: 3540, LB: 4958774.442917086, (exp UB:4897922.3615551535),  Gap: -1.24,  Fixed x: True,  Fixed thetavar: True  
Iteration: 16, Duration: 3584, LB: 5109356.735993138, (exp UB:4896153.837483273),  Gap: -4.35,  Fixed x: True,  Fixed thetavar: True  
Iteration: 17, Duration: 3646, LB: 5113102.213726346, (exp UB:5705325.989441324),  Gap: 10.38,  Fixed x: True,  Fixed thetavar: True  
Iteration: 18, Duration: 3694, LB: 5115353.221275102, (exp UB:7919761.214993975),  Gap: 35.41,  Fixed x: True,  Fixed thetavar: True  
Iteration: 19, Duration: 3774, LB: 5116429.908589009, (exp UB:4945518.7156789405),  Gap: -3.46,  Fixed x: True,  Fixed thetavar: True  
Iteration: 20, Duration: 3821, LB: 5117430.370451456, (exp UB:4902555.490527848),  Gap: -4.38,  Fixed x: True,  Fixed thetavar: True  
Iteration: 21, Duration: 3869, LB: 5119956.50355143, (exp UB:5513872.322236614),  Gap: 7.14,  Fixed x: True,  Fixed thetavar: True  
Iteration: 22, Duration: 3941, LB: 5123730.749041975, (exp UB:4904589.389497805),  Gap: -4.47,  Fixed x: True,  Fixed thetavar: True  
Iteration: 23, Duration: 4018, LB: 5123767.253996037, (exp UB:7438220.061714875),  Gap: 31.12,  Fixed x: True,  Fixed thetavar: True  
Iteration: 24, Duration: 4108, LB: 5125902.247264949, (exp UB:4903758.854169557),  Gap: -4.53,  Fixed x: True,  Fixed thetavar: True  
Iteration: 25, Duration: 4163, LB: 5126813.697662566, (exp UB:4906186.990677511),  Gap: -4.50,  Fixed x: True,  Fixed thetavar: True  
Iteration: 26, Duration: 4239, LB: 5127055.516336151, (exp UB:5275506.117416159),  Gap: 2.81,  Fixed x: True,  Fixed thetavar: True  
Iteration: 27, Duration: 4305, LB: 5128257.108104324, (exp UB:4906988.529199735),  Gap: -4.51,  Fixed x: True,  Fixed thetavar: True  
Iteration: 28, Duration: 4391, LB: 5128347.42085505, (exp UB:4895407.509583537),  Gap: -4.76,  Fixed x: True,  Fixed thetavar: True  
Iteration: 29, Duration: 4485, LB: 5128733.19725483, (exp UB:5542774.002174462),  Gap: 7.47,  Fixed x: True,  Fixed thetavar: True  
Iteration: 30, Duration: 4556, LB: 5128739.678915043, (exp UB:6432069.385030986),  Gap: 20.26,  Fixed x: True,  Fixed thetavar: True  
Iteration: 31, Duration: 4634, LB: 5128940.396647552, (exp UB:4903484.225935493),  Gap: -4.60,  Fixed x: True,  Fixed thetavar: True  
Iteration: 32, Duration: 4816, LB: 5129384.695647921, (exp UB:4898402.839156326),  Gap: -4.72,  Fixed x: True,  Fixed thetavar: True  
Iteration: 33, Duration: 4891, LB: 5131167.221794479, (exp UB:5216894.9393583),  Gap: 1.64,  Fixed x: True,  Fixed thetavar: True  
Iteration: 34, Duration: 4977, LB: 5131922.840601001, (exp UB:5792040.082418301),  Gap: 11.40,  Fixed x: True,  Fixed thetavar: True  
Iteration: 35, Duration: 5066, LB: 5132033.5375106875, (exp UB:4902144.853073397),  Gap: -4.69,  Fixed x: True,  Fixed thetavar: True  
Iteration: 36, Duration: 5166, LB: 5135188.492567077, (exp UB:4892056.845707865),  Gap: -4.97,  Fixed x: True,  Fixed thetavar: True  
Iteration: 37, Duration: 5260, LB: 5135423.137174097, (exp UB:5203625.148015713),  Gap: 1.31,  Fixed x: True,  Fixed thetavar: True  
Iteration: 38, Duration: 5375, LB: 5136050.714719694, (exp UB:4897903.638396864),  Gap: -4.86,  Fixed x: True,  Fixed thetavar: True  
Iteration: 39, Duration: 5483, LB: 5136352.509744998, (exp UB:5547611.19376749),  Gap: 7.41,  Fixed x: True,  Fixed thetavar: True  
Iteration: 40, Duration: 5550, LB: 5136451.620283633, (exp UB:5114267.632975738),  Gap: -0.43,  Fixed x: True,  Fixed thetavar: True  
Iteration: 41, Duration: 5622, LB: 5137222.562424065, (exp UB:5001635.724828588),  Gap: -2.71,  Fixed x: True,  Fixed thetavar: True  
Iteration: 42, Duration: 5693, LB: 5137247.940492537, (exp UB:4929229.892692645),  Gap: -4.22,  Fixed x: True,  Fixed thetavar: True  
Iteration: 43, Duration: 5783, LB: 5137995.77020406, (exp UB:4889037.264103885),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 44, Duration: 5910, LB: 5138578.428073231, (exp UB:4895840.172637905),  Gap: -4.96,  Fixed x: True,  Fixed thetavar: True  
Iteration: 45, Duration: 6006, LB: 5138764.022041315, (exp UB:4899106.673864804),  Gap: -4.89,  Fixed x: True,  Fixed thetavar: True  
Iteration: 46, Duration: 6133, LB: 5138517.773427678, (exp UB:6419859.048347598),  Gap: 19.96,  Fixed x: True,  Fixed thetavar: True  
Iteration: 47, Duration: 6240, LB: 5138632.292774595, (exp UB:8175801.2150759855),  Gap: 37.15,  Fixed x: True,  Fixed thetavar: True  
Iteration: 48, Duration: 6343, LB: 5138835.084886877, (exp UB:4890413.504684819),  Gap: -5.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 49, Duration: 6487, LB: 5138685.432800734, (exp UB:4902153.303486519),  Gap: -4.83,  Fixed x: True,  Fixed thetavar: True  
Iteration: 50, Duration: 6590, LB: 5138734.820637783, (exp UB:5236703.587835103),  Gap: 1.87,  Fixed x: True,  Fixed thetavar: True  
Iteration: 51, Duration: 6682, LB: 5139031.741917482, (exp UB:5113685.300209291),  Gap: -0.50,  Fixed x: True,  Fixed thetavar: True  
Iteration: 52, Duration: 6803, LB: 5138789.75269088, (exp UB:4894432.549629859),  Gap: -4.99,  Fixed x: True,  Fixed thetavar: True  
Iteration: 53, Duration: 6919, LB: 5138826.942988265, (exp UB:4889986.524697679),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 54, Duration: 7074, LB: 5139173.98985288, (exp UB:4891207.421657832),  Gap: -5.07,  Fixed x: True,  Fixed thetavar: True  
Iteration: 55, Duration: 7197, LB: 5138881.30658811, (exp UB:4892648.948686911),  Gap: -5.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 56, Duration: 7295, LB: 5139136.456816584, (exp UB:4893322.521780401),  Gap: -5.02,  Fixed x: True,  Fixed thetavar: True  
Iteration: 57, Duration: 7415, LB: 5139008.138486309, (exp UB:4897713.013270084),  Gap: -4.93,  Fixed x: True,  Fixed thetavar: True  
Iteration: 58, Duration: 7521, LB: 5139273.563819515, (exp UB:5235197.244673704),  Gap: 1.83,  Fixed x: True,  Fixed thetavar: True  
Iteration: 59, Duration: 7630, LB: 5139018.800384786, (exp UB:4890046.425709288),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 60, Duration: 7760, LB: 5139019.375638355, (exp UB:5901725.519750499),  Gap: 12.92,  Fixed x: True,  Fixed thetavar: True  
Iteration: 61, Duration: 7884, LB: 5139355.863096032, (exp UB:4894047.329837852),  Gap: -5.01,  Fixed x: True,  Fixed thetavar: True  
Iteration: 62, Duration: 8015, LB: 5139311.355212307, (exp UB:4888600.540499117),  Gap: -5.13,  Fixed x: True,  Fixed thetavar: True  
Iteration: 63, Duration: 8144, LB: 5139313.045488417, (exp UB:4892449.373679861),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 64, Duration: 8261, LB: 5139326.54682146, (exp UB:5109090.298125761),  Gap: -0.59,  Fixed x: True,  Fixed thetavar: True  
Iteration: 65, Duration: 8374, LB: 5139019.387205413, (exp UB:4890194.039865141),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 66, Duration: 8522, LB: 5139371.149675945, (exp UB:4893045.627627945),  Gap: -5.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 67, Duration: 8652, LB: 5139374.3506935295, (exp UB:5145302.792370071),  Gap: 0.12,  Fixed x: True,  Fixed thetavar: True  
Iteration: 68, Duration: 8768, LB: 5139380.170703581, (exp UB:4891295.329006804),  Gap: -5.07,  Fixed x: True,  Fixed thetavar: True  
Iteration: 69, Duration: 8893, LB: 5139019.4808305735, (exp UB:4890460.277233783),  Gap: -5.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 70, Duration: 8993, LB: 5139019.472034361, (exp UB:4892332.963239414),  Gap: -5.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 71, Duration: 9110, LB: 5139019.472034359, (exp UB:5108619.870915747),  Gap: -0.60,  Fixed x: True,  Fixed thetavar: True  
Iteration: 72, Duration: 9238, LB: 5139019.465030326, (exp UB:4894089.995489897),  Gap: -5.00,  Fixed x: True,  Fixed thetavar: True  
Iteration: 73, Duration: 9447, LB: 5139390.468348793, (exp UB:4897838.789888065),  Gap: -4.93,  Fixed x: True,  Fixed thetavar: True  
Iteration: 74, Duration: 9577, LB: 5139361.197667733, (exp UB:5112378.411831823),  Gap: -0.53,  Fixed x: True,  Fixed thetavar: True  
Iteration: 75, Duration: 9694, LB: 5139024.757717004, (exp UB:4891824.200143179),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 76, Duration: 9850, LB: 5139361.197667733, (exp UB:4893270.998085938),  Gap: -5.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 77, Duration: 9993, LB: 5139029.616543004, (exp UB:4891325.348931332),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 78, Duration: 10144, LB: 5139029.606169637, (exp UB:4889062.959448468),  Gap: -5.11,  Fixed x: True,  Fixed thetavar: True  
