Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 248, LB: 16792081.496783577, (exp UB:369719450.1758983),  Gap: 95.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 280, LB: 16792081.496783577, (exp UB:385474101.56142867),  Gap: 95.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 298, LB: 16792081.496783577, (exp UB:349408195.4401629),  Gap: 95.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 315, LB: 16792081.496783577, (exp UB:314645539.2953422),  Gap: 94.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 338, LB: 16792081.496783577, (exp UB:363122034.18912303),  Gap: 95.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 358, LB: 16792081.496783577, (exp UB:291094770.7748826),  Gap: 94.23,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 378, LB: 16792081.496783577, (exp UB:310584843.9176887),  Gap: 94.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 398, LB: 16792081.496783577, (exp UB:370496457.48553634),  Gap: 95.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 417, LB: 16792081.496783577, (exp UB:337502708.2449498),  Gap: 95.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 434, LB: 16792081.496783577, (exp UB:383703207.7735514),  Gap: 95.62,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 549, LB: 16792138.139461786, (exp UB:11888949.07518635),  Gap: -41.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 592, LB: 16793047.036731444, (exp UB:13034612.107334595),  Gap: -28.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 635, LB: 16793178.27807212, (exp UB:11813176.13482181),  Gap: -42.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 675, LB: 17566950.656175036, (exp UB:16209359.825868247),  Gap: -8.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 721, LB: 17567201.737759538, (exp UB:13240051.082036322),  Gap: -32.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 758, LB: 17567201.05787891, (exp UB:13584160.791663872),  Gap: -29.32,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 810, LB: 17567253.741924465, (exp UB:11588418.979691772),  Gap: -51.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 871, LB: 17567304.34585075, (exp UB:11654619.714339787),  Gap: -50.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 959, LB: 17567472.174368538, (exp UB:19210804.752163738),  Gap: 8.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 1042, LB: 17568116.11361956, (exp UB:11427217.788773667),  Gap: -53.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 1129, LB: 17567580.189506907, (exp UB:14616582.087351613),  Gap: -20.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 1208, LB: 17567612.04370996, (exp UB:15491777.19167029),  Gap: -13.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 1265, LB: 17567651.310984146, (exp UB:11804867.125629462),  Gap: -48.82,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 1361, LB: 17567893.892809946, (exp UB:39549650.86698548),  Gap: 55.58,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 1418, LB: 17567918.144681573, (exp UB:13506219.043268066),  Gap: -30.07,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 1473, LB: 17567947.875988863, (exp UB:11100570.287084855),  Gap: -58.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 1557, LB: 17568443.591558963, (exp UB:10339872.482491724),  Gap: -69.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 1617, LB: 17568477.69285489, (exp UB:11684000.049696624),  Gap: -50.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 1697, LB: 17568260.562747523, (exp UB:9680947.941017915),  Gap: -81.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 1753, LB: 17568502.522477977, (exp UB:11180409.339145768),  Gap: -57.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 1825, LB: 17568094.54689109, (exp UB:12379778.667580482),  Gap: -41.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 1897, LB: 17568095.317152046, (exp UB:12730178.388790404),  Gap: -38.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 1970, LB: 17568667.54637233, (exp UB:8978427.35767859),  Gap: -95.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 2040, LB: 17568933.66668362, (exp UB:12610467.121066336),  Gap: -39.32,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 2119, LB: 17569180.34038037, (exp UB:12076322.651816335),  Gap: -45.48,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 2206, LB: 17568959.870034516, (exp UB:10186732.284695713),  Gap: -72.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 2336, LB: 17569401.12935116, (exp UB:10170317.777477749),  Gap: -72.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 2412, LB: 17571605.095376737, (exp UB:10743407.047697764),  Gap: -63.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 2523, LB: 17572007.873875987, (exp UB:14545977.02954954),  Gap: -20.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 2600, LB: 17572051.935043857, (exp UB:9739787.97762426),  Gap: -80.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 2712, LB: 17570512.85083602, (exp UB:10980622.198473826),  Gap: -60.01,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 2781, LB: 17571014.41747796, (exp UB:11353479.19412672),  Gap: -54.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 2900, LB: 17572236.762386374, (exp UB:12759360.893002627),  Gap: -37.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 2995, LB: 17570753.965038903, (exp UB:10788281.236125294),  Gap: -62.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 3077, LB: 17571068.795555405, (exp UB:15613357.091506634),  Gap: -12.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 3181, LB: 17571277.659238882, (exp UB:12245535.562241472),  Gap: -43.49,  Fixed x: False,  Fixed thetavar: False  
