Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: False 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 345, LB: 35446594.058575235, (exp UB:32905815.738727096),  Gap: -7.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 431, LB: 35447065.82869851, (exp UB:22431880.527668938),  Gap: -58.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 488, LB: 35447978.21812923, (exp UB:22073927.586630546),  Gap: -60.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 548, LB: 35447512.831600785, (exp UB:21316737.83038022),  Gap: -66.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 615, LB: 35449928.663260505, (exp UB:21014031.340465657),  Gap: -68.70,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 688, LB: 35448277.93248029, (exp UB:20595816.73003561),  Gap: -72.11,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 750, LB: 35448788.373961255, (exp UB:20131141.254486043),  Gap: -76.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 809, LB: 35448885.06305486, (exp UB:21489532.79584673),  Gap: -64.96,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 879, LB: 35450386.41125265, (exp UB:20130881.770004902),  Gap: -76.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 953, LB: 35449957.19953208, (exp UB:21231897.50121804),  Gap: -66.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 1031, LB: 35450402.916025996, (exp UB:21724697.57535663),  Gap: -63.18,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 1102, LB: 35450122.35069622, (exp UB:16680959.126334194),  Gap: -112.52,  Fixed x: False,  Fixed thetavar: False  
