Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: False 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 105, LB: 137012.96575783266, (exp UB:106990207.14486687),  Gap: 99.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 114, LB: 137012.96575783266, (exp UB:79843790.54565553),  Gap: 99.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 124, LB: 137012.96575783266, (exp UB:93168811.92676198),  Gap: 99.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 133, LB: 137012.96575783266, (exp UB:103770379.78883342),  Gap: 99.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 143, LB: 137012.96575783266, (exp UB:64703552.655738644),  Gap: 99.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 153, LB: 137012.96575783266, (exp UB:83675446.73902544),  Gap: 99.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 164, LB: 137012.96575783266, (exp UB:94603111.27548459),  Gap: 99.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 175, LB: 137012.96575783266, (exp UB:42410280.39788466),  Gap: 99.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 185, LB: 137012.96575783266, (exp UB:82275116.28793985),  Gap: 99.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 195, LB: 137012.96575783266, (exp UB:90679836.4744443),  Gap: 99.85,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 226, LB: 137013.34400208338, (exp UB:142762.41545744395),  Gap: 4.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 240, LB: 137013.34610017226, (exp UB:142041.35926914838),  Gap: 3.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 254, LB: 137013.3469358593, (exp UB:140336.81000893973),  Gap: 2.37,  Fixed x: False,  Fixed thetavar: False  
