Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 481, LB: 157037.72620747497, (exp UB:156587.89739914157),  Gap: -0.29,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 518, LB: 166894.71303655, (exp UB:180130.76922821728),  Gap: 7.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 556, LB: 238590.36052091318, (exp UB:1752125.2374121111),  Gap: 86.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 594, LB: 267214.72742450295, (exp UB:1749988.2896666669),  Gap: 84.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 633, LB: 295344.6672412419, (exp UB:1763664.4065647551),  Gap: 83.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 669, LB: 341507.3465562967, (exp UB:240215.5833333336),  Gap: -42.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 706, LB: 394827.4279053075, (exp UB:730504.6533103538),  Gap: 45.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 744, LB: 396426.76074471505, (exp UB:1251165.4578336212),  Gap: 68.32,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 785, LB: 437858.3050368271, (exp UB:700703.185170201),  Gap: 37.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 823, LB: 447795.60998235, (exp UB:706782.1301550311),  Gap: 36.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 868, LB: 490576.32872624154, (exp UB:221041.7127627511),  Gap: -121.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 911, LB: 491542.79187757394, (exp UB:227976.70002567366),  Gap: -115.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 956, LB: 493303.40339410515, (exp UB:727244.7744534257),  Gap: 32.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 1001, LB: 501406.03784765233, (exp UB:702174.1649312301),  Gap: 28.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 1046, LB: 507425.67410742975, (exp UB:182894.83133327845),  Gap: -177.44,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 1105, LB: 524535.5635954163, (exp UB:3240595.44519825),  Gap: 83.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 1151, LB: 526032.0234913866, (exp UB:1714542.792242251),  Gap: 69.32,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 1199, LB: 533052.0734736121, (exp UB:173722.94866666652),  Gap: -206.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 1246, LB: 550081.5471379347, (exp UB:185218.89070448052),  Gap: -196.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 1301, LB: 550196.8328721367, (exp UB:703254.0470625741),  Gap: 21.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 1352, LB: 550742.2172915686, (exp UB:176171.79373543191),  Gap: -212.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 1401, LB: 552087.6269467832, (exp UB:1693476.5685719443),  Gap: 67.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 1450, LB: 579588.3182465292, (exp UB:1700479.6371327983),  Gap: 65.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 1497, LB: 582774.6611945191, (exp UB:189611.8014887076),  Gap: -207.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 1548, LB: 582799.5590316748, (exp UB:1713304.8359965398),  Gap: 65.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 1600, LB: 582854.8753036652, (exp UB:189712.89084884129),  Gap: -207.23,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 1658, LB: 583563.0904309677, (exp UB:1708465.8166796088),  Gap: 65.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 1709, LB: 583589.3727046462, (exp UB:704364.0579986577),  Gap: 17.15,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 1766, LB: 584596.4084158945, (exp UB:190945.00115025317),  Gap: -206.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 1820, LB: 585272.0041776253, (exp UB:192922.55111407553),  Gap: -203.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 1875, LB: 592024.4543976741, (exp UB:197674.8155816007),  Gap: -199.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 1928, LB: 595051.7139360153, (exp UB:1720596.9738923078),  Gap: 65.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 1978, LB: 595187.2523180158, (exp UB:704890.8594954683),  Gap: 15.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 2040, LB: 597745.2598618392, (exp UB:182884.7673333333),  Gap: -226.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 2089, LB: 600899.0020653545, (exp UB:1705806.9880306078),  Gap: 64.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 2150, LB: 601391.4022206374, (exp UB:190532.5261101253),  Gap: -215.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 2210, LB: 602176.0602842127, (exp UB:1705779.3571380891),  Gap: 64.70,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 2276, LB: 602292.8230411971, (exp UB:1701846.652116209),  Gap: 64.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 2339, LB: 605380.7581575424, (exp UB:194266.78692721634),  Gap: -211.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 2395, LB: 605369.020251648, (exp UB:1711451.8642655085),  Gap: 64.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 2455, LB: 606315.8204159096, (exp UB:183894.5564953636),  Gap: -229.71,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 2514, LB: 606310.5710630774, (exp UB:181485.83290521376),  Gap: -234.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 2573, LB: 606335.8935119817, (exp UB:183129.34379549464),  Gap: -231.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 2629, LB: 606369.8493332542, (exp UB:696422.5687112026),  Gap: 12.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 2692, LB: 606346.9294284685, (exp UB:194917.77945441747),  Gap: -211.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 2754, LB: 608663.05116616, (exp UB:196152.8967364494),  Gap: -210.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 2815, LB: 608663.1242363257, (exp UB:2223830.323763663),  Gap: 72.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 2876, LB: 608663.4072363258, (exp UB:703844.6026434818),  Gap: 13.52,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 2939, LB: 608672.1786206227, (exp UB:701039.8244127274),  Gap: 13.18,  Fixed x: False,  Fixed thetavar: False  
