Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 586, LB: 35750008.3520527, (exp UB:32895683.01549438),  Gap: -8.68,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 693, LB: 35750785.52289841, (exp UB:20781985.261469558),  Gap: -72.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 822, LB: 35751018.82312577, (exp UB:22231396.727000043),  Gap: -60.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 985, LB: 35863026.767077215, (exp UB:22923718.495841317),  Gap: -56.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 1092, LB: 35869398.025409125, (exp UB:35930105.407038204),  Gap: 0.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 1274, LB: 35873460.838154405, (exp UB:25137352.12692622),  Gap: -42.71,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 1468, LB: 35877680.72030367, (exp UB:27427355.60130573),  Gap: -30.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 1661, LB: 35878525.0922015, (exp UB:35608995.7556594),  Gap: -0.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 1909, LB: 35890104.88491583, (exp UB:53634480.12109911),  Gap: 33.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 2104, LB: 35892322.55359575, (exp UB:19881680.08497364),  Gap: -80.53,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 2296, LB: 35892422.69166351, (exp UB:34097489.3705143),  Gap: -5.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 2495, LB: 35895706.76314966, (exp UB:29007471.021707483),  Gap: -23.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 2853, LB: 35895865.877162024, (exp UB:33899481.223202474),  Gap: -5.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 3034, LB: 35895983.28331241, (exp UB:29012002.742971644),  Gap: -23.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 3352, LB: 35899043.94092258, (exp UB:24634458.542851157),  Gap: -45.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 3543, LB: 35900654.79507793, (exp UB:24406216.756184228),  Gap: -47.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 3777, LB: 35911585.99745917, (exp UB:26005005.01543188),  Gap: -38.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 4136, LB: 35913518.98990029, (exp UB:21613659.48108567),  Gap: -66.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 4373, LB: 35916518.33218241, (exp UB:20118716.292841326),  Gap: -78.52,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 4758, LB: 35924548.66562514, (exp UB:23555502.622686453),  Gap: -52.51,  Fixed x: False,  Fixed thetavar: False  
