Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 238, LB: 138363.0372854177, (exp UB:51189159.01777397),  Gap: 99.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 255, LB: 138363.0372854177, (exp UB:39937757.57447683),  Gap: 99.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 274, LB: 138363.0372854177, (exp UB:37899162.847771935),  Gap: 99.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 291, LB: 138363.0372854177, (exp UB:45817731.030021176),  Gap: 99.70,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 309, LB: 138363.0372854177, (exp UB:42968722.838303894),  Gap: 99.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 327, LB: 138363.0372854177, (exp UB:64798795.63099079),  Gap: 99.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 344, LB: 138363.0372854177, (exp UB:67752069.4913277),  Gap: 99.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 365, LB: 138363.0372854177, (exp UB:70000848.80421133),  Gap: 99.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 382, LB: 138363.0372854177, (exp UB:59888085.80313148),  Gap: 99.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 403, LB: 138363.0372854177, (exp UB:81791373.68313868),  Gap: 99.83,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 507, LB: 138363.46876666672, (exp UB:212582.76040800527),  Gap: 34.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 531, LB: 138363.47265250594, (exp UB:140278.74332774326),  Gap: 1.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 554, LB: 138368.39718974015, (exp UB:144606.2944870583),  Gap: 4.31,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 575, LB: 138367.52402257695, (exp UB:145959.17648792718),  Gap: 5.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 599, LB: 138363.57776666674, (exp UB:143167.43739487577),  Gap: 3.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 623, LB: 138363.6077666654, (exp UB:140517.62807199644),  Gap: 1.53,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 650, LB: 138368.42755670918, (exp UB:143739.09162772537),  Gap: 3.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 676, LB: 138363.87676640842, (exp UB:138423.8101376301),  Gap: 0.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 701, LB: 138364.12363282463, (exp UB:139677.60321136602),  Gap: 0.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 728, LB: 138373.85792742728, (exp UB:141501.50495243183),  Gap: 2.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 753, LB: 138433.06205682806, (exp UB:141236.84566457727),  Gap: 1.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 781, LB: 138515.55930510463, (exp UB:142070.67291644146),  Gap: 2.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 809, LB: 138542.8368281901, (exp UB:145485.2399195062),  Gap: 4.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 836, LB: 138549.21034005622, (exp UB:138445.11226055527),  Gap: -0.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 867, LB: 138553.3232591172, (exp UB:143477.92007901054),  Gap: 3.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 899, LB: 138566.45391657707, (exp UB:143038.98045174842),  Gap: 3.13,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 928, LB: 138605.4122950744, (exp UB:141263.78252256903),  Gap: 1.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 960, LB: 138695.20758820974, (exp UB:142152.31944431656),  Gap: 2.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 1002, LB: 138684.933397151, (exp UB:146666.95347079242),  Gap: 5.44,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 1038, LB: 138702.62605922378, (exp UB:146846.64152675483),  Gap: 5.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 1070, LB: 138722.0684023515, (exp UB:140694.40382236452),  Gap: 1.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 1103, LB: 138765.18681370493, (exp UB:141097.04601872296),  Gap: 1.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 1134, LB: 138764.58957385452, (exp UB:139273.65623299556),  Gap: 0.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 1169, LB: 138767.8273791761, (exp UB:143354.53105962466),  Gap: 3.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 1205, LB: 138781.5496453059, (exp UB:143739.2883138294),  Gap: 3.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 1241, LB: 138780.09741391754, (exp UB:143362.06367807993),  Gap: 3.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 1277, LB: 138782.7016398622, (exp UB:146412.99353945727),  Gap: 5.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 1313, LB: 138777.67959130963, (exp UB:141033.67447038332),  Gap: 1.60,  Fixed x: False,  Fixed thetavar: False  
