Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: False 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: False 
Generate  cuts with LBF: False 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 74, LB: 0.0, (exp UB:108948118.50666666),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 78, LB: 0.043, (exp UB:95049466.90744445),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 86, LB: 0.054, (exp UB:87386846.009),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 89, LB: 0.057, (exp UB:98181542.86420678),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 94, LB: 0.067, (exp UB:64987348.92346835),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 98, LB: 0.07, (exp UB:100361930.26428226),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 102, LB: 0.074, (exp UB:102802361.56187516),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 108, LB: 0.076, (exp UB:89968228.59588236),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 113, LB: 0.081, (exp UB:110674005.31553563),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 119, LB: 0.083, (exp UB:66961049.09728712),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 126, LB: 0.085, (exp UB:48530598.24209129),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 131, LB: 0.086, (exp UB:95415307.88061044),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 136, LB: 0.087, (exp UB:83639724.56106529),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 143, LB: 0.09523130935197202, (exp UB:36548887.1459742),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 150, LB: 0.096, (exp UB:53277809.23866676),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 159, LB: 0.098, (exp UB:82657163.36522311),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 166, LB: 0.11499999999999999, (exp UB:54697636.50339937),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 176, LB: 0.118, (exp UB:108123621.65278655),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 184, LB: 0.11936048599128099, (exp UB:39232081.56268737),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 193, LB: 0.12, (exp UB:97811979.59736773),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 202, LB: 0.121, (exp UB:100327900.0400708),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 209, LB: 0.12300000000000001, (exp UB:94700300.19265512),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 216, LB: 0.12491102211732515, (exp UB:51631568.92015551),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 232, LB: 0.1261278709386771, (exp UB:23675491.076136254),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 244, LB: 0.129, (exp UB:111947359.75005192),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 251, LB: 0.13, (exp UB:80328777.62298581),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 259, LB: 0.13151138661163447, (exp UB:60502289.33363131),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 266, LB: 0.14, (exp UB:66411958.86945966),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
