Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 841, LB: 16399452.62292342, (exp UB:15172684.646793725),  Gap: -8.09,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 854, LB: 16399539.25650406, (exp UB:10228820.764137771),  Gap: -60.33,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 864, LB: 16399531.962330885, (exp UB:11113161.493485374),  Gap: -47.57,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 878, LB: 16607948.37512921, (exp UB:11485092.674015723),  Gap: -44.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 896, LB: 16628227.430763166, (exp UB:14817646.668068092),  Gap: -12.22,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 949, LB: 16631659.255000865, (exp UB:10814135.112379543),  Gap: -53.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 961, LB: 16633904.027669465, (exp UB:12692553.272803895),  Gap: -31.05,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 998, LB: 16635112.603575617, (exp UB:12318492.49408789),  Gap: -35.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 1023, LB: 16639421.843541114, (exp UB:10140394.346726034),  Gap: -64.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 1103, LB: 16639424.737177366, (exp UB:10932592.000977296),  Gap: -52.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 1123, LB: 16640597.571329465, (exp UB:13102736.140536316),  Gap: -27.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 1141, LB: 16651128.403004495, (exp UB:13271607.345417595),  Gap: -25.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 1168, LB: 16655014.68079082, (exp UB:10610204.166771647),  Gap: -56.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 1190, LB: 16657859.96292633, (exp UB:12654815.591223089),  Gap: -31.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 1214, LB: 16656712.815821912, (exp UB:12793744.670922354),  Gap: -30.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 1232, LB: 16658150.323274363, (exp UB:11744702.728516262),  Gap: -41.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 1250, LB: 16659855.996368678, (exp UB:13331567.82648103),  Gap: -24.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 1271, LB: 16658422.335197473, (exp UB:10351426.573254915),  Gap: -60.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 1293, LB: 16661242.91304973, (exp UB:11830548.657427697),  Gap: -40.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 1315, LB: 16670845.38281414, (exp UB:13951711.187948823),  Gap: -19.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 1336, LB: 16679240.034919256, (exp UB:18879319.463933095),  Gap: 11.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 1375, LB: 16681363.817558471, (exp UB:12815681.171971828),  Gap: -30.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 1453, LB: 16681112.837830544, (exp UB:11576140.488769675),  Gap: -44.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 1479, LB: 16681880.558290297, (exp UB:14551689.83207876),  Gap: -14.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 1513, LB: 16684234.38943789, (exp UB:11462376.933382679),  Gap: -45.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 1546, LB: 16683610.96628744, (exp UB:11587730.686960798),  Gap: -43.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 1579, LB: 16682936.996221306, (exp UB:11954025.70207828),  Gap: -39.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 1619, LB: 16683838.646691317, (exp UB:13675446.491771022),  Gap: -22.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 1671, LB: 16684590.192910235, (exp UB:16741956.434060076),  Gap: 0.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 1708, LB: 16684655.116206372, (exp UB:12001978.742026627),  Gap: -39.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 1745, LB: 16684755.028762573, (exp UB:14049283.030783426),  Gap: -18.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 1786, LB: 16684824.453097092, (exp UB:13798748.025166456),  Gap: -20.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 1824, LB: 16685266.937296743, (exp UB:10705086.35754912),  Gap: -55.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 1881, LB: 16684856.790941212, (exp UB:13607908.948575433),  Gap: -22.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 1912, LB: 16684983.677351018, (exp UB:9944674.099581774),  Gap: -67.78,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 1952, LB: 16685044.98366818, (exp UB:13315945.369624957),  Gap: -25.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 2004, LB: 16685083.045315307, (exp UB:11132253.079468757),  Gap: -49.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 2046, LB: 16685086.89591681, (exp UB:11684708.57882154),  Gap: -42.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 2080, LB: 16685103.741411464, (exp UB:10112223.118300421),  Gap: -65.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 2130, LB: 16685320.570293238, (exp UB:12366971.54751616),  Gap: -34.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 2171, LB: 16685245.66045593, (exp UB:14059085.926770627),  Gap: -18.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 2201, LB: 16685309.163677461, (exp UB:10185498.801152304),  Gap: -63.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 2231, LB: 16685484.876619477, (exp UB:10680679.634451438),  Gap: -56.22,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 2259, LB: 16685984.958043354, (exp UB:11207980.348173974),  Gap: -48.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 2285, LB: 16686628.843174927, (exp UB:11782702.416095948),  Gap: -41.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 2321, LB: 16685587.849640364, (exp UB:11097512.418485215),  Gap: -50.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 2348, LB: 16685918.594737984, (exp UB:10117404.520507218),  Gap: -64.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 2378, LB: 16686297.583569933, (exp UB:10926899.30928689),  Gap: -52.71,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 2411, LB: 16686443.709161965, (exp UB:11209091.906059653),  Gap: -48.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 50, Duration: 2440, LB: 16686521.43082215, (exp UB:10436003.973923352),  Gap: -59.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 51, Duration: 2471, LB: 16686599.850568833, (exp UB:11989973.64281579),  Gap: -39.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 52, Duration: 2497, LB: 16688235.425457722, (exp UB:9825926.081001535),  Gap: -69.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 53, Duration: 2530, LB: 16686629.758117203, (exp UB:20311706.539637167),  Gap: 17.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 54, Duration: 2569, LB: 16686630.434811326, (exp UB:10472311.324978363),  Gap: -59.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 55, Duration: 2600, LB: 16686664.136434395, (exp UB:18122823.241277404),  Gap: 7.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 56, Duration: 2634, LB: 16686924.045190116, (exp UB:12219522.969630543),  Gap: -36.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 57, Duration: 2662, LB: 16686692.649360083, (exp UB:10126824.802665038),  Gap: -64.78,  Fixed x: False,  Fixed thetavar: False  
Iteration: 58, Duration: 2687, LB: 16686790.257636672, (exp UB:11829181.28907397),  Gap: -41.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 59, Duration: 2713, LB: 16686790.799170164, (exp UB:12700909.958184771),  Gap: -31.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 60, Duration: 2744, LB: 16686801.71201691, (exp UB:10615908.642840661),  Gap: -57.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 61, Duration: 2770, LB: 16686808.093725719, (exp UB:10506055.70377808),  Gap: -58.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 62, Duration: 2797, LB: 16686908.692744251, (exp UB:11604999.501931634),  Gap: -43.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 63, Duration: 2826, LB: 16687187.378034122, (exp UB:12073836.18011795),  Gap: -38.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 64, Duration: 2859, LB: 16686913.043387491, (exp UB:10472341.695514243),  Gap: -59.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 65, Duration: 2886, LB: 16686919.49201615, (exp UB:11213973.95253752),  Gap: -48.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 66, Duration: 2914, LB: 16686930.507103276, (exp UB:10451346.88843032),  Gap: -59.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 67, Duration: 2953, LB: 16687083.702325154, (exp UB:12843066.626772556),  Gap: -29.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 68, Duration: 2992, LB: 16686934.104771487, (exp UB:11782831.37284651),  Gap: -41.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 69, Duration: 3022, LB: 16686934.104771487, (exp UB:12444128.587404143),  Gap: -34.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 70, Duration: 3050, LB: 16686934.104771487, (exp UB:10090280.782096712),  Gap: -65.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 71, Duration: 3074, LB: 16686936.136207052, (exp UB:10722685.98155356),  Gap: -55.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 72, Duration: 3105, LB: 16686940.513869153, (exp UB:11736082.630612712),  Gap: -42.18,  Fixed x: False,  Fixed thetavar: False  
Iteration: 73, Duration: 3130, LB: 16687453.841854218, (exp UB:12013973.561727075),  Gap: -38.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 74, Duration: 3180, LB: 16687187.440034121, (exp UB:10056919.52977217),  Gap: -65.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 75, Duration: 3232, LB: 16687202.326591836, (exp UB:12659744.441352215),  Gap: -31.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 76, Duration: 3285, LB: 16687304.965375729, (exp UB:9866425.176083922),  Gap: -69.13,  Fixed x: False,  Fixed thetavar: False  
Iteration: 77, Duration: 3326, LB: 16687340.751863608, (exp UB:9895896.151104236),  Gap: -68.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 78, Duration: 3379, LB: 16687484.634643126, (exp UB:10534535.570065066),  Gap: -58.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 79, Duration: 3418, LB: 16687560.957449673, (exp UB:11154258.154361611),  Gap: -49.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 80, Duration: 3460, LB: 16688167.273035884, (exp UB:12123080.87184956),  Gap: -37.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 81, Duration: 3500, LB: 16688692.838058112, (exp UB:12879988.699748766),  Gap: -29.57,  Fixed x: False,  Fixed thetavar: False  
Iteration: 82, Duration: 3540, LB: 16688977.957695518, (exp UB:10135937.729112864),  Gap: -64.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 83, Duration: 3581, LB: 16690172.914673127, (exp UB:10479347.14012029),  Gap: -59.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 84, Duration: 3628, LB: 16689342.939565748, (exp UB:10244510.24953802),  Gap: -62.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 85, Duration: 3668, LB: 16690192.032692436, (exp UB:11600524.543852445),  Gap: -43.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 86, Duration: 3715, LB: 16690220.760133946, (exp UB:10434354.66242453),  Gap: -59.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 87, Duration: 3756, LB: 16689713.905657306, (exp UB:11126884.891873669),  Gap: -49.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 88, Duration: 3805, LB: 16689040.865154365, (exp UB:10477078.596068908),  Gap: -59.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 89, Duration: 3858, LB: 16689825.468029503, (exp UB:10487388.347115658),  Gap: -59.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 90, Duration: 3889, LB: 16689825.468029503, (exp UB:10100747.565174747),  Gap: -65.23,  Fixed x: False,  Fixed thetavar: False  
Iteration: 91, Duration: 3942, LB: 16690276.948092895, (exp UB:12010212.618130885),  Gap: -38.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 92, Duration: 3980, LB: 16690277.75127198, (exp UB:12208022.34961611),  Gap: -36.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 93, Duration: 4014, LB: 16690329.809627442, (exp UB:10071189.128902812),  Gap: -65.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 94, Duration: 4058, LB: 16690404.01958736, (exp UB:10470660.63616017),  Gap: -59.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 95, Duration: 4093, LB: 16690405.452068426, (exp UB:11904946.940626366),  Gap: -40.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 96, Duration: 4133, LB: 16690405.597163476, (exp UB:10017526.416787341),  Gap: -66.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 97, Duration: 4174, LB: 16690407.776281856, (exp UB:10615611.874230493),  Gap: -57.23,  Fixed x: False,  Fixed thetavar: False  
Iteration: 98, Duration: 4217, LB: 16690412.105262162, (exp UB:10435055.311418282),  Gap: -59.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 99, Duration: 4256, LB: 16690424.107461156, (exp UB:11808132.048462763),  Gap: -41.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 100, Duration: 4287, LB: 16690424.069461154, (exp UB:10336362.347999118),  Gap: -61.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 101, Duration: 4327, LB: 16690425.34836463, (exp UB:12834337.329614319),  Gap: -30.05,  Fixed x: False,  Fixed thetavar: False  
Iteration: 102, Duration: 4363, LB: 16690429.042891068, (exp UB:11289359.391950592),  Gap: -47.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 103, Duration: 4396, LB: 16690438.245547786, (exp UB:9821656.885901706),  Gap: -69.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 104, Duration: 4426, LB: 16690438.203547783, (exp UB:10237609.160542924),  Gap: -63.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 105, Duration: 4470, LB: 16690467.867318446, (exp UB:12152480.791845866),  Gap: -37.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 106, Duration: 4501, LB: 16690468.604165627, (exp UB:13375555.349990789),  Gap: -24.78,  Fixed x: False,  Fixed thetavar: False  
Iteration: 107, Duration: 4535, LB: 16690473.956028191, (exp UB:10235740.307334088),  Gap: -63.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 108, Duration: 4571, LB: 16690479.067200372, (exp UB:10782645.753848676),  Gap: -54.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 109, Duration: 4611, LB: 16690487.367036112, (exp UB:10360571.02951742),  Gap: -61.10,  Fixed x: False,  Fixed thetavar: False  
