Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: False 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 129, LB: 16815641.95201238, (exp UB:16562683.915280765),  Gap: -1.53,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 147, LB: 16815759.246595826, (exp UB:15177432.569146106),  Gap: -10.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 167, LB: 16815737.396061797, (exp UB:10760491.875361107),  Gap: -56.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 189, LB: 17590983.30331011, (exp UB:13266977.355607897),  Gap: -32.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 209, LB: 18332991.589696307, (exp UB:10889374.571051855),  Gap: -68.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 228, LB: 18355986.397241652, (exp UB:11930060.067471588),  Gap: -53.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 249, LB: 18367265.39255254, (exp UB:14718063.179460825),  Gap: -24.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 275, LB: 18371676.985529847, (exp UB:12518720.44112268),  Gap: -46.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 303, LB: 18556997.142409023, (exp UB:12200321.14075999),  Gap: -52.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 327, LB: 18688541.35162136, (exp UB:14333366.044462895),  Gap: -30.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 359, LB: 19060283.810069803, (exp UB:20334528.769181557),  Gap: 6.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 391, LB: 19659066.45292294, (exp UB:42736903.59226881),  Gap: 54.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 414, LB: 19662408.923843306, (exp UB:14469498.760060005),  Gap: -35.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 436, LB: 19693500.39951131, (exp UB:12804903.194193657),  Gap: -53.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 464, LB: 19884354.954982225, (exp UB:25434531.555792134),  Gap: 21.82,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 481, LB: 19884315.44027605, (exp UB:25948181.31560634),  Gap: 23.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 503, LB: 19884712.095729455, (exp UB:21014911.923167236),  Gap: 5.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 523, LB: 19884693.90624767, (exp UB:16273182.266906071),  Gap: -22.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 555, LB: 19894906.78603963, (exp UB:12041083.488680426),  Gap: -65.23,  Fixed x: False,  Fixed thetavar: False  
