Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 540, LB: 11287538.742484612, (exp UB:7338003.082316199),  Gap: -53.82,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 577, LB: 11287539.154171526, (exp UB:5762260.244670761),  Gap: -95.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 603, LB: 11287539.154171495, (exp UB:7741252.879710758),  Gap: -45.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 629, LB: 11287539.15417148, (exp UB:4769593.195321982),  Gap: -136.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 656, LB: 11287539.15431295, (exp UB:6901860.009681646),  Gap: -63.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 684, LB: 11287539.190171413, (exp UB:7273557.978722121),  Gap: -55.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 717, LB: 11287539.258171495, (exp UB:6851735.055138083),  Gap: -64.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 747, LB: 11287539.28117155, (exp UB:5830644.455313751),  Gap: -93.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 777, LB: 11287539.462177902, (exp UB:6382644.762411046),  Gap: -76.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 817, LB: 11287539.173293512, (exp UB:5593319.466428602),  Gap: -101.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 858, LB: 11287539.413171684, (exp UB:7345977.720182793),  Gap: -53.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 904, LB: 11287649.321249686, (exp UB:3944165.01058844),  Gap: -186.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 952, LB: 11287539.461171536, (exp UB:5165931.14400557),  Gap: -118.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 990, LB: 11287539.4966878, (exp UB:5349773.415078739),  Gap: -110.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 1038, LB: 11288371.05937288, (exp UB:7233134.587823372),  Gap: -56.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 1081, LB: 11288049.98653254, (exp UB:5404613.683112822),  Gap: -108.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 1133, LB: 11287651.257698666, (exp UB:6721745.5555523615),  Gap: -67.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 1184, LB: 11287539.386075212, (exp UB:6823979.894657796),  Gap: -65.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 1232, LB: 11287539.394438203, (exp UB:6731949.783901091),  Gap: -67.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 1274, LB: 11287539.441702731, (exp UB:5066483.07550125),  Gap: -122.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 1320, LB: 11287586.75776881, (exp UB:2818355.1205097176),  Gap: -300.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 1374, LB: 11287539.364897372, (exp UB:7657809.427714666),  Gap: -47.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 1421, LB: 11287539.442234783, (exp UB:6260248.487791381),  Gap: -80.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 1469, LB: 11287605.248025771, (exp UB:5512736.961255727),  Gap: -104.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 1517, LB: 11287559.097747823, (exp UB:10329440.241507098),  Gap: -9.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 1575, LB: 11287614.059894813, (exp UB:7283796.912649229),  Gap: -54.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 1633, LB: 11288420.20967028, (exp UB:6741925.26968436),  Gap: -67.44,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 1687, LB: 11288163.471267186, (exp UB:4320425.574230038),  Gap: -161.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 1748, LB: 11288240.604019629, (exp UB:7552509.636276091),  Gap: -49.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 1809, LB: 11288621.28880779, (exp UB:7205796.848454321),  Gap: -56.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 1867, LB: 11287773.933668656, (exp UB:6707164.699032014),  Gap: -68.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 1922, LB: 11287802.99992696, (exp UB:4771879.168842613),  Gap: -136.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 1972, LB: 11287869.471911559, (exp UB:4792758.7785601085),  Gap: -135.52,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 2042, LB: 11287809.5721981, (exp UB:2394456.7785587357),  Gap: -371.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 2106, LB: 11288681.413564783, (exp UB:6596311.115978126),  Gap: -71.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 2167, LB: 11287874.52107443, (exp UB:3003465.9047579113),  Gap: -275.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 2225, LB: 11288438.548889201, (exp UB:4615503.371956022),  Gap: -144.58,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 2291, LB: 11288178.966298545, (exp UB:8563796.542478584),  Gap: -31.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 2343, LB: 11287924.257730152, (exp UB:7346520.154512709),  Gap: -53.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 2399, LB: 11287946.324294643, (exp UB:6992776.097655255),  Gap: -61.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 2451, LB: 11288830.846973374, (exp UB:9291074.317586724),  Gap: -21.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 2504, LB: 11287947.62188443, (exp UB:3562994.7360563157),  Gap: -216.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 2560, LB: 11288353.058291249, (exp UB:6366596.056942232),  Gap: -77.31,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 2613, LB: 11288415.894827116, (exp UB:8627103.979659334),  Gap: -30.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 2664, LB: 11288362.342168592, (exp UB:6737374.765434624),  Gap: -67.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 2714, LB: 11288465.367416231, (exp UB:6638065.357029194),  Gap: -70.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 2774, LB: 11288279.634121649, (exp UB:6847909.433111629),  Gap: -64.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 2827, LB: 11288062.809047878, (exp UB:6411502.932539065),  Gap: -76.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 2885, LB: 11288378.08394361, (exp UB:5853042.340012376),  Gap: -92.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 50, Duration: 2941, LB: 11288039.977139529, (exp UB:6250702.965805012),  Gap: -80.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 51, Duration: 3103, LB: 11288670.656969856, (exp UB:6737209.611614046),  Gap: -67.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 52, Duration: 3162, LB: 11288365.234469451, (exp UB:5961169.3895150395),  Gap: -89.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 53, Duration: 3220, LB: 11288830.46449557, (exp UB:4184245.35136885),  Gap: -169.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 54, Duration: 3297, LB: 11288476.828400334, (exp UB:7405082.284001427),  Gap: -52.44,  Fixed x: False,  Fixed thetavar: False  
Iteration: 55, Duration: 3377, LB: 11288260.441732679, (exp UB:4860328.394690249),  Gap: -132.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 56, Duration: 3443, LB: 11288213.694644663, (exp UB:5188588.282255219),  Gap: -117.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 57, Duration: 3515, LB: 11288047.003594898, (exp UB:4812021.429145298),  Gap: -134.58,  Fixed x: False,  Fixed thetavar: False  
Iteration: 58, Duration: 3608, LB: 11288372.324288968, (exp UB:8007355.113881444),  Gap: -40.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 59, Duration: 3714, LB: 11288449.07451332, (exp UB:4699422.620047735),  Gap: -140.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 60, Duration: 3812, LB: 11288520.88674831, (exp UB:7624116.1375389695),  Gap: -48.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 61, Duration: 3929, LB: 11288545.536599142, (exp UB:3562648.3014605306),  Gap: -216.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 62, Duration: 4018, LB: 11288259.4324013, (exp UB:5998609.617231776),  Gap: -88.18,  Fixed x: False,  Fixed thetavar: False  
Iteration: 63, Duration: 4105, LB: 11288469.851064367, (exp UB:5068929.016091302),  Gap: -122.70,  Fixed x: False,  Fixed thetavar: False  
Iteration: 64, Duration: 4187, LB: 11288373.951122563, (exp UB:6722488.420758661),  Gap: -67.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 65, Duration: 4285, LB: 11288897.623592153, (exp UB:4448114.904170232),  Gap: -153.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 66, Duration: 4366, LB: 11289036.074780153, (exp UB:8937086.011879807),  Gap: -26.32,  Fixed x: False,  Fixed thetavar: False  
Iteration: 67, Duration: 4459, LB: 11288637.8032218, (exp UB:5240534.713598774),  Gap: -115.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 68, Duration: 4537, LB: 11288383.383217432, (exp UB:3274469.761424992),  Gap: -244.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 69, Duration: 4608, LB: 11288331.06677902, (exp UB:2771242.500210431),  Gap: -307.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 70, Duration: 4674, LB: 11288698.867118511, (exp UB:7264770.855357464),  Gap: -55.39,  Fixed x: False,  Fixed thetavar: False  
Iteration: 71, Duration: 4761, LB: 11288710.739919456, (exp UB:4213780.01934598),  Gap: -167.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 72, Duration: 4856, LB: 11288623.85826841, (exp UB:7373830.262119891),  Gap: -53.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 73, Duration: 4948, LB: 11288592.799234867, (exp UB:6730131.85795887),  Gap: -67.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 74, Duration: 5011, LB: 11289060.147901114, (exp UB:7500862.6299271975),  Gap: -50.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 75, Duration: 5078, LB: 11289030.792058766, (exp UB:7860062.318796643),  Gap: -43.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 76, Duration: 5159, LB: 11288646.28836892, (exp UB:5079580.84977301),  Gap: -122.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 77, Duration: 5240, LB: 11288985.7649236, (exp UB:7657967.628580346),  Gap: -47.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 78, Duration: 5311, LB: 11288985.764923604, (exp UB:4216452.9977036),  Gap: -167.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 79, Duration: 5374, LB: 11288985.764923604, (exp UB:9186890.712461166),  Gap: -22.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 80, Duration: 5444, LB: 11288992.386453617, (exp UB:4431634.155191208),  Gap: -154.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 81, Duration: 5527, LB: 11289027.143224731, (exp UB:4777728.1931876205),  Gap: -136.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 82, Duration: 5605, LB: 11288750.473004958, (exp UB:4662893.860662839),  Gap: -142.10,  Fixed x: False,  Fixed thetavar: False  
Iteration: 83, Duration: 5677, LB: 11289137.209977858, (exp UB:3926356.179901038),  Gap: -187.52,  Fixed x: False,  Fixed thetavar: False  
Iteration: 84, Duration: 5742, LB: 11289137.209977858, (exp UB:8043591.828822901),  Gap: -40.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 85, Duration: 5814, LB: 11289137.209977858, (exp UB:5098027.581128831),  Gap: -121.44,  Fixed x: False,  Fixed thetavar: False  
Iteration: 86, Duration: 5900, LB: 11288079.331149288, (exp UB:7868760.337314491),  Gap: -43.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 87, Duration: 5986, LB: 11289138.655349893, (exp UB:3617795.633197014),  Gap: -212.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 88, Duration: 6099, LB: 11289004.764764098, (exp UB:9686419.00561339),  Gap: -16.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 89, Duration: 6220, LB: 11289004.764764098, (exp UB:5314809.106608351),  Gap: -112.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 90, Duration: 6372, LB: 11289020.58804066, (exp UB:5522157.919840669),  Gap: -104.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 91, Duration: 6506, LB: 11289120.21156372, (exp UB:6019671.764122526),  Gap: -87.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 92, Duration: 6655, LB: 11288434.343880871, (exp UB:5464035.415960527),  Gap: -106.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 93, Duration: 6775, LB: 11288941.611402344, (exp UB:4178224.5844137133),  Gap: -170.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 94, Duration: 6906, LB: 11288526.025401313, (exp UB:2772227.6214897083),  Gap: -307.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 95, Duration: 7032, LB: 11288813.461526182, (exp UB:4989870.54404756),  Gap: -126.23,  Fixed x: False,  Fixed thetavar: False  
Iteration: 96, Duration: 7149, LB: 11288647.424450079, (exp UB:8260681.352584572),  Gap: -36.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 97, Duration: 7270, LB: 11288546.921352316, (exp UB:4733589.577607539),  Gap: -138.48,  Fixed x: False,  Fixed thetavar: False  
Iteration: 98, Duration: 7392, LB: 11288746.170853995, (exp UB:3674684.743038783),  Gap: -207.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 99, Duration: 7532, LB: 11288468.803611286, (exp UB:7627241.7450923845),  Gap: -48.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 100, Duration: 7656, LB: 11288475.381485421, (exp UB:7170564.206569102),  Gap: -57.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 101, Duration: 7789, LB: 11288890.613485718, (exp UB:4429517.659004855),  Gap: -154.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 102, Duration: 7913, LB: 11288804.519223342, (exp UB:4884330.830343746),  Gap: -131.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 103, Duration: 7998, LB: 11288919.897668099, (exp UB:5389435.485789264),  Gap: -109.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 104, Duration: 8084, LB: 11288865.133402131, (exp UB:8346551.0409886325),  Gap: -35.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 105, Duration: 8171, LB: 11289107.33128224, (exp UB:2391970.7928076307),  Gap: -371.96,  Fixed x: False,  Fixed thetavar: False  
Iteration: 106, Duration: 8260, LB: 11288951.398647493, (exp UB:4438576.831130562),  Gap: -154.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 107, Duration: 8350, LB: 11288792.90338292, (exp UB:8453633.911897976),  Gap: -33.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 108, Duration: 8444, LB: 11288721.580967642, (exp UB:6130578.199852869),  Gap: -84.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 109, Duration: 8605, LB: 11288455.203249754, (exp UB:9669520.849348709),  Gap: -16.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 110, Duration: 8760, LB: 11288996.023084298, (exp UB:5033785.461733859),  Gap: -124.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 111, Duration: 8907, LB: 11288996.023084298, (exp UB:4614832.405430946),  Gap: -144.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 112, Duration: 9060, LB: 11288967.992198685, (exp UB:5029617.483579218),  Gap: -124.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 113, Duration: 9217, LB: 11288959.591320828, (exp UB:8220006.605458673),  Gap: -37.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 114, Duration: 9374, LB: 11288766.522269443, (exp UB:6222439.45108579),  Gap: -81.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 115, Duration: 9511, LB: 11288940.158849921, (exp UB:5910323.045932219),  Gap: -91.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 116, Duration: 9643, LB: 11289003.882905753, (exp UB:7318177.49551581),  Gap: -54.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 117, Duration: 9834, LB: 11288783.426022913, (exp UB:5880287.503301755),  Gap: -91.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 118, Duration: 10027, LB: 11289142.578046165, (exp UB:6962166.922339691),  Gap: -62.15,  Fixed x: False,  Fixed thetavar: False  
Iteration: 119, Duration: 10181, LB: 11289034.453426445, (exp UB:8939332.61229382),  Gap: -26.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 120, Duration: 10391, LB: 11288640.14513492, (exp UB:2738091.534906415),  Gap: -312.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 121, Duration: 10517, LB: 11288812.811850078, (exp UB:7299150.177289846),  Gap: -54.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 122, Duration: 10628, LB: 11288326.927491106, (exp UB:3726528.4170962446),  Gap: -202.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 123, Duration: 10721, LB: 11288837.450067036, (exp UB:6703847.480839184),  Gap: -68.39,  Fixed x: False,  Fixed thetavar: False  
Iteration: 124, Duration: 10841, LB: 11288897.77014548, (exp UB:4700279.048560233),  Gap: -140.18,  Fixed x: False,  Fixed thetavar: False  
Iteration: 125, Duration: 10950, LB: 11289089.71779227, (exp UB:5801004.281056538),  Gap: -94.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 126, Duration: 11134, LB: 11288680.190488502, (exp UB:7625582.836138702),  Gap: -48.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 127, Duration: 11319, LB: 11288925.319856394, (exp UB:3133610.3791403994),  Gap: -260.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 128, Duration: 11498, LB: 11288786.935304653, (exp UB:3563227.512794954),  Gap: -216.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 129, Duration: 11661, LB: 11289111.820097104, (exp UB:2735749.9521905165),  Gap: -312.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 130, Duration: 11808, LB: 11289171.719419364, (exp UB:2358613.9800068457),  Gap: -378.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 131, Duration: 11997, LB: 11289014.474124119, (exp UB:5312647.970623268),  Gap: -112.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 132, Duration: 12177, LB: 11288438.014737006, (exp UB:4773773.812648703),  Gap: -136.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 133, Duration: 12391, LB: 11288620.050511226, (exp UB:6445112.592744535),  Gap: -75.15,  Fixed x: False,  Fixed thetavar: False  
Iteration: 134, Duration: 12547, LB: 11289105.480123883, (exp UB:8022140.067276007),  Gap: -40.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 135, Duration: 12719, LB: 11288796.439613057, (exp UB:5269604.856912434),  Gap: -114.22,  Fixed x: False,  Fixed thetavar: False  
