Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 295, LB: 167320.26686835478, (exp UB:908172.5758357483),  Gap: 81.58,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 316, LB: 167320.26686835478, (exp UB:17191416.67143193),  Gap: 99.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 335, LB: 167320.26686835478, (exp UB:11460137.8130232),  Gap: 98.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 352, LB: 167320.26686835478, (exp UB:8173339.447339096),  Gap: 97.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 370, LB: 167320.26686835478, (exp UB:1479677.8672087935),  Gap: 88.69,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 389, LB: 167320.26686835478, (exp UB:6415710.022281045),  Gap: 97.39,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 408, LB: 167320.26686835478, (exp UB:10331008.444875792),  Gap: 98.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 426, LB: 167320.26686835478, (exp UB:8104665.59510072),  Gap: 97.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 446, LB: 167320.26686835478, (exp UB:1477458.2599718603),  Gap: 88.68,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 465, LB: 167320.26686835478, (exp UB:2486386.4890019433),  Gap: 93.27,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 521, LB: 167320.65982266766, (exp UB:222659.61505163056),  Gap: 24.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 542, LB: 167320.6598226677, (exp UB:174004.13636952982),  Gap: 3.84,  Fixed x: False,  Fixed thetavar: False  
