Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 1731, LB: 23676492.45111092, (exp UB:19792934.178921342),  Gap: -19.62,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 1836, LB: 23678599.23587496, (exp UB:19326207.5021375),  Gap: -22.52,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 1908, LB: 26054754.245897427, (exp UB:7265597.200000007),  Gap: -258.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 1989, LB: 26338895.594300322, (exp UB:11907901.435313376),  Gap: -121.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 2079, LB: 26394504.37484063, (exp UB:3729886.1551662423),  Gap: -607.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 2147, LB: 26564884.188954145, (exp UB:9687845.210754406),  Gap: -174.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 2213, LB: 26590025.201033294, (exp UB:13968494.662145834),  Gap: -90.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 2299, LB: 26594527.180517793, (exp UB:9839164.516829176),  Gap: -170.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 2370, LB: 26598463.742338605, (exp UB:17293576.967084628),  Gap: -53.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 2469, LB: 26621620.994202405, (exp UB:14059348.020352434),  Gap: -89.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 2537, LB: 26627506.852984175, (exp UB:12657956.59194774),  Gap: -110.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 2604, LB: 26631566.54957127, (exp UB:9308171.611504175),  Gap: -186.11,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 2666, LB: 26675162.504971147, (exp UB:6087474.11401219),  Gap: -338.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 2753, LB: 26689539.985161833, (exp UB:9444233.23990048),  Gap: -182.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 2822, LB: 26702854.480867356, (exp UB:18443018.212731175),  Gap: -44.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 2891, LB: 26754171.214616287, (exp UB:15526745.596066313),  Gap: -72.31,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 2959, LB: 26781741.006014228, (exp UB:8351329.869716926),  Gap: -220.69,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 3056, LB: 26793715.167832475, (exp UB:23584733.281389557),  Gap: -13.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 3137, LB: 26806345.212709665, (exp UB:18393540.210179795),  Gap: -45.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 3206, LB: 26832834.78427012, (exp UB:16857648.31873762),  Gap: -59.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 3297, LB: 26846862.141271546, (exp UB:14767556.5033892),  Gap: -81.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 3374, LB: 26848485.439092092, (exp UB:13231124.209964428),  Gap: -102.92,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 3458, LB: 26850889.68176216, (exp UB:13838049.175206654),  Gap: -94.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 3534, LB: 26853421.494216055, (exp UB:10510158.668958204),  Gap: -155.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 3618, LB: 26855189.88659142, (exp UB:15757728.676983947),  Gap: -70.43,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 3693, LB: 26858831.380403806, (exp UB:13797013.752445526),  Gap: -94.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 3779, LB: 26858682.503981862, (exp UB:11472211.373242687),  Gap: -134.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 3854, LB: 26861817.182298318, (exp UB:17369513.841542386),  Gap: -54.65,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 3966, LB: 26861958.07057745, (exp UB:12040935.011666209),  Gap: -123.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 4044, LB: 26862018.72672008, (exp UB:8877389.395226289),  Gap: -202.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 4131, LB: 26863732.290054075, (exp UB:10920535.792809116),  Gap: -145.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 4215, LB: 26865983.440894842, (exp UB:8700558.443679519),  Gap: -208.78,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 4313, LB: 26864981.897322636, (exp UB:10509882.897224775),  Gap: -155.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 4414, LB: 26865952.37053324, (exp UB:13749100.270506678),  Gap: -95.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 4495, LB: 26866139.206247125, (exp UB:16827183.027429853),  Gap: -59.66,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 4578, LB: 26866920.56452586, (exp UB:13308371.166498747),  Gap: -101.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 4680, LB: 26868812.081161026, (exp UB:16112708.93013194),  Gap: -66.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 4775, LB: 26868735.441738956, (exp UB:21132767.845463824),  Gap: -27.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 4858, LB: 26873415.673339475, (exp UB:16779654.487948418),  Gap: -60.15,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 4951, LB: 26873316.840550195, (exp UB:6034229.504761674),  Gap: -345.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 5038, LB: 26873925.322913975, (exp UB:9988153.114705116),  Gap: -169.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 5132, LB: 26875074.861218277, (exp UB:15926127.817885306),  Gap: -68.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 5239, LB: 26874389.090673044, (exp UB:18657947.723380692),  Gap: -44.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 5334, LB: 26875007.920718774, (exp UB:27852113.015618473),  Gap: 3.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 5426, LB: 26874237.730340876, (exp UB:12916555.951092118),  Gap: -108.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 5524, LB: 26875314.765564956, (exp UB:8411707.17203414),  Gap: -219.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 5629, LB: 26873914.64655091, (exp UB:8335611.8833092665),  Gap: -222.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 5720, LB: 26874584.057287868, (exp UB:18305452.787239555),  Gap: -46.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 5827, LB: 26873937.888615645, (exp UB:10185132.336009115),  Gap: -163.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 50, Duration: 5934, LB: 26874784.274562452, (exp UB:13096405.55117861),  Gap: -105.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 51, Duration: 6048, LB: 26876388.009911206, (exp UB:15726660.727327032),  Gap: -70.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 52, Duration: 6209, LB: 26877074.314256396, (exp UB:17337396.83044234),  Gap: -55.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 53, Duration: 6319, LB: 26877218.09152616, (exp UB:13099656.758521685),  Gap: -105.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 54, Duration: 6435, LB: 26875952.580921784, (exp UB:2783980.6434690375),  Gap: -865.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 55, Duration: 6539, LB: 26876202.59753698, (exp UB:12556930.407567816),  Gap: -114.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 56, Duration: 6646, LB: 26877877.81466561, (exp UB:681503.4378080699),  Gap: -3843.91,  Fixed x: False,  Fixed thetavar: False  
Iteration: 57, Duration: 6760, LB: 26877405.019280683, (exp UB:24821294.80771082),  Gap: -8.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 58, Duration: 6856, LB: 26877476.09925641, (exp UB:7814505.321963441),  Gap: -243.94,  Fixed x: False,  Fixed thetavar: False  
Iteration: 59, Duration: 7007, LB: 26877193.129143845, (exp UB:16747358.155005557),  Gap: -60.49,  Fixed x: False,  Fixed thetavar: False  
Iteration: 60, Duration: 7110, LB: 26877051.66369752, (exp UB:14067152.86834261),  Gap: -91.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 61, Duration: 7213, LB: 26877360.66758622, (exp UB:11324549.090978498),  Gap: -137.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 62, Duration: 7328, LB: 26877901.72138889, (exp UB:21679758.046996538),  Gap: -23.98,  Fixed x: False,  Fixed thetavar: False  
