Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 545, LB: 206017.43966174073, (exp UB:210351.18321174072),  Gap: 2.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 567, LB: 206017.4396617407, (exp UB:213037.73997363605),  Gap: 3.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 589, LB: 206017.43966174076, (exp UB:208703.36929374075),  Gap: 1.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 611, LB: 206017.43966174076, (exp UB:212359.1353368008),  Gap: 2.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 634, LB: 206017.43966174076, (exp UB:213599.216942083),  Gap: 3.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 656, LB: 206017.43966174076, (exp UB:212935.93376567107),  Gap: 3.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 679, LB: 206017.43966174076, (exp UB:209283.8448188889),  Gap: 1.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 701, LB: 206017.43966174076, (exp UB:207370.5947811636),  Gap: 0.65,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 9, Duration: 730, LB: 206017.8334500001, (exp UB:212746.88068333338),  Gap: 3.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 756, LB: 206037.02423333336, (exp UB:209887.86968333338),  Gap: 1.83,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 783, LB: 206037.12023333344, (exp UB:195587.19410416664),  Gap: -5.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 811, LB: 206037.30423333333, (exp UB:216282.80034999992),  Gap: 4.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 838, LB: 206017.90144998117, (exp UB:212083.78144852744),  Gap: 2.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 865, LB: 206018.05444998544, (exp UB:199562.3933500001),  Gap: -3.23,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 893, LB: 206018.11444998754, (exp UB:203995.05534999995),  Gap: -0.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 919, LB: 206017.89845000004, (exp UB:211819.17135),  Gap: 2.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 948, LB: 206017.89845000012, (exp UB:194964.02110416666),  Gap: -5.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 975, LB: 206017.93245000005, (exp UB:207266.74001666668),  Gap: 0.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 1003, LB: 206017.97844999534, (exp UB:205196.02297566764),  Gap: -0.40,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 1032, LB: 206020.51106460358, (exp UB:208833.75222969262),  Gap: 1.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 1060, LB: 206020.0844908531, (exp UB:210537.96838901882),  Gap: 2.15,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 1087, LB: 206018.2924499966, (exp UB:211886.35104133788),  Gap: 2.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 1117, LB: 206018.3104499917, (exp UB:212103.3526833334),  Gap: 2.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 1146, LB: 206021.98273335613, (exp UB:206097.39178364226),  Gap: 0.04,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 1175, LB: 206021.5093505421, (exp UB:212403.3914571395),  Gap: 3.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 1207, LB: 206021.53387456376, (exp UB:212663.22493222012),  Gap: 3.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 1236, LB: 206022.8235562317, (exp UB:212917.39709872255),  Gap: 3.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 1267, LB: 206026.33806066908, (exp UB:214815.84045277463),  Gap: 4.09,  Fixed x: False,  Fixed thetavar: False  
