Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 164, LB: 172003.03688024142, (exp UB:7152570.559434409),  Gap: 97.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 179, LB: 172003.1998238761, (exp UB:1617844.4019515244),  Gap: 89.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 192, LB: 172003.22406711467, (exp UB:1835270.3522063468),  Gap: 90.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 203, LB: 172003.23190287087, (exp UB:1389619.675019442),  Gap: 87.62,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 215, LB: 172003.23243597685, (exp UB:2338067.80488995),  Gap: 92.64,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 227, LB: 172003.23243597677, (exp UB:2144844.447388232),  Gap: 91.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 239, LB: 172003.23243597677, (exp UB:1386068.1062779874),  Gap: 87.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 252, LB: 172003.23243597677, (exp UB:2423196.6574901426),  Gap: 92.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 264, LB: 172003.23243597677, (exp UB:3278066.3169901175),  Gap: 94.75,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 275, LB: 172003.23243597677, (exp UB:536877.8091568102),  Gap: 67.96,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 301, LB: 172170.11996685178, (exp UB:2934747.8998188246),  Gap: 94.13,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 315, LB: 1374993.2024323242, (exp UB:3173280.867294723),  Gap: 56.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 336, LB: 1712610.763812218, (exp UB:1907928.5843333337),  Gap: 10.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 348, LB: 1795234.8429572508, (exp UB:3347388.0494190156),  Gap: 46.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 368, LB: 1795181.5071706146, (exp UB:1485271.9735931866),  Gap: -20.87,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 380, LB: 1795246.612847686, (exp UB:2740650.369877424),  Gap: 34.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 397, LB: 1795604.0450890795, (exp UB:1964396.2602381504),  Gap: 8.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 410, LB: 1796190.3335290025, (exp UB:602924.4476725755),  Gap: -197.91,  Fixed x: False,  Fixed thetavar: False  
