Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: False 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 54, LB: 0.0, (exp UB:1295026810.3366666),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 72, LB: 0.17336193381093518, (exp UB:834414215.4418731),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 88, LB: 0.2183658808578583, (exp UB:914257328.8352915),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 105, LB: 0.25008477367456733, (exp UB:842941139.4306071),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 121, LB: 0.3562871097328161, (exp UB:828884381.3517648),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 138, LB: 0.43227433548272653, (exp UB:852126727.5185138),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 154, LB: 0.4670865153074266, (exp UB:717445096.8885562),  Gap: 100.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 171, LB: 5602277.935625026, (exp UB:443078680.86619264),  Gap: 98.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 187, LB: 5602431.394159705, (exp UB:382385453.15761244),  Gap: 98.53,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 202, LB: 5602468.186534958, (exp UB:472657425.7324625),  Gap: 98.81,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 218, LB: 14918027.977434734, (exp UB:615643829.7187511),  Gap: 97.58,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 233, LB: 14917532.137961797, (exp UB:535202568.6121978),  Gap: 97.21,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 249, LB: 14918677.679637551, (exp UB:511532069.93207145),  Gap: 97.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 266, LB: 15543321.348592361, (exp UB:522300898.96813065),  Gap: 97.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 281, LB: 16020336.60583814, (exp UB:459592080.76086897),  Gap: 96.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 297, LB: 16020336.60583814, (exp UB:454135894.62792087),  Gap: 96.47,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 312, LB: 16020566.467657562, (exp UB:439188287.42441666),  Gap: 96.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 329, LB: 16020684.197325736, (exp UB:332666121.4677688),  Gap: 95.18,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 345, LB: 16329986.151239408, (exp UB:436333549.27164483),  Gap: 96.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 362, LB: 16594185.578922812, (exp UB:395344152.2477807),  Gap: 95.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 378, LB: 17013667.827474706, (exp UB:454398261.59224486),  Gap: 96.26,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 396, LB: 17014338.066464294, (exp UB:405047961.4932005),  Gap: 95.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 412, LB: 17013439.70417168, (exp UB:467384363.6878828),  Gap: 96.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 431, LB: 17013830.659698684, (exp UB:319592650.51211286),  Gap: 94.68,  Fixed x: False,  Fixed thetavar: False  
