Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 322, LB: 78401026.82759811, (exp UB:70161730.99912553),  Gap: -11.74,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 2, Duration: 364, LB: 89819245.64133431, (exp UB:27795435.371990904),  Gap: -223.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 387, LB: 89863508.30505887, (exp UB:30549642.323980495),  Gap: -194.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 409, LB: 90089634.08691126, (exp UB:30509933.740858816),  Gap: -195.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 431, LB: 90105076.33684036, (exp UB:31096486.18226208),  Gap: -189.76,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 455, LB: 90105411.83291319, (exp UB:32383925.162947573),  Gap: -178.24,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 494, LB: 90105530.4990452, (exp UB:31803315.876587175),  Gap: -183.32,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 517, LB: 90105723.04567665, (exp UB:30198825.51691215),  Gap: -198.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 547, LB: 90105765.64751151, (exp UB:31948915.869442426),  Gap: -182.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 576, LB: 90105782.83716631, (exp UB:34773832.64018736),  Gap: -159.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 11, Duration: 608, LB: 90105825.19559057, (exp UB:31418465.309857786),  Gap: -186.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 644, LB: 90105798.23502676, (exp UB:32264927.153973285),  Gap: -179.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 683, LB: 90105802.08959527, (exp UB:29937594.90237928),  Gap: -200.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 711, LB: 90105805.46761551, (exp UB:35531917.281784765),  Gap: -153.59,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 748, LB: 90105806.3408213, (exp UB:27404947.45874252),  Gap: -228.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 774, LB: 90105819.83539757, (exp UB:31033663.55518962),  Gap: -190.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 806, LB: 90105819.83539759, (exp UB:29945810.17638575),  Gap: -200.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 835, LB: 90105809.0858451, (exp UB:32903061.69699997),  Gap: -173.85,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 866, LB: 90105809.08584511, (exp UB:34478277.53065713),  Gap: -161.34,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 890, LB: 90105902.77939627, (exp UB:30079469.404798307),  Gap: -199.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 919, LB: 90105905.64545012, (exp UB:32079718.08451192),  Gap: -180.88,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 948, LB: 90105810.18933748, (exp UB:32405360.376221456),  Gap: -178.06,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 973, LB: 90105810.18933748, (exp UB:34753822.901993126),  Gap: -159.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 1011, LB: 90105810.18933748, (exp UB:35650993.01751504),  Gap: -152.74,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 1038, LB: 90105810.18933748, (exp UB:32735929.22625021),  Gap: -175.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 1063, LB: 90105810.18933748, (exp UB:28915846.74729234),  Gap: -211.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 1093, LB: 90105810.18933748, (exp UB:34867487.24596561),  Gap: -158.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 28, Duration: 1121, LB: 90105810.18933748, (exp UB:33883329.469537385),  Gap: -165.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 29, Duration: 1150, LB: 90105810.18933748, (exp UB:32445687.377063163),  Gap: -177.71,  Fixed x: False,  Fixed thetavar: False  
Iteration: 30, Duration: 1185, LB: 90105810.18933748, (exp UB:30008326.367470413),  Gap: -200.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 31, Duration: 1215, LB: 90105810.18933748, (exp UB:31302231.532996666),  Gap: -187.86,  Fixed x: False,  Fixed thetavar: False  
Iteration: 32, Duration: 1246, LB: 90105810.18933748, (exp UB:30035977.53635726),  Gap: -199.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 33, Duration: 1283, LB: 90105810.18933748, (exp UB:38112192.26705054),  Gap: -136.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 34, Duration: 1315, LB: 90105810.18933748, (exp UB:30238694.123558003),  Gap: -197.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 35, Duration: 1347, LB: 90105810.18933748, (exp UB:31804466.603319425),  Gap: -183.31,  Fixed x: False,  Fixed thetavar: False  
Iteration: 36, Duration: 1379, LB: 90105810.18933748, (exp UB:32359075.662139416),  Gap: -178.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 37, Duration: 1419, LB: 90105810.18933748, (exp UB:27302222.765062384),  Gap: -230.03,  Fixed x: False,  Fixed thetavar: False  
Iteration: 38, Duration: 1451, LB: 90105810.18933748, (exp UB:29490221.008618288),  Gap: -205.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 39, Duration: 1483, LB: 90105810.18933748, (exp UB:31010406.182150576),  Gap: -190.57,  Fixed x: False,  Fixed thetavar: False  
Iteration: 40, Duration: 1515, LB: 90105810.18933748, (exp UB:30659222.50369141),  Gap: -193.89,  Fixed x: False,  Fixed thetavar: False  
Iteration: 41, Duration: 1548, LB: 90105810.18933748, (exp UB:35424596.79855558),  Gap: -154.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 42, Duration: 1590, LB: 90105810.18933748, (exp UB:31747901.229309235),  Gap: -183.82,  Fixed x: False,  Fixed thetavar: False  
Iteration: 43, Duration: 1623, LB: 90105810.18933748, (exp UB:31584158.248436116),  Gap: -185.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 44, Duration: 1656, LB: 90105810.18933748, (exp UB:30993946.822603885),  Gap: -190.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 45, Duration: 1691, LB: 90105810.18933748, (exp UB:32121714.082482874),  Gap: -180.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 46, Duration: 1732, LB: 90105810.18933748, (exp UB:30826500.240391795),  Gap: -192.30,  Fixed x: False,  Fixed thetavar: False  
Iteration: 47, Duration: 1764, LB: 90105810.18933748, (exp UB:28920619.16567834),  Gap: -211.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 48, Duration: 1799, LB: 90105810.18933748, (exp UB:28832920.10269637),  Gap: -212.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 49, Duration: 1832, LB: 90105810.18933748, (exp UB:30706122.298653726),  Gap: -193.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 50, Duration: 1869, LB: 90105810.18933748, (exp UB:31971110.781190798),  Gap: -181.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 51, Duration: 1907, LB: 90105810.18933748, (exp UB:31476253.035584178),  Gap: -186.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 52, Duration: 1952, LB: 90105810.18933748, (exp UB:30085190.418332387),  Gap: -199.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 53, Duration: 1989, LB: 90105810.18933748, (exp UB:32751008.0026908),  Gap: -175.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 54, Duration: 2024, LB: 90105810.18933748, (exp UB:29901194.314558335),  Gap: -201.35,  Fixed x: False,  Fixed thetavar: False  
Iteration: 55, Duration: 2060, LB: 90105810.18933748, (exp UB:32091888.359082066),  Gap: -180.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 56, Duration: 2095, LB: 90105810.18933748, (exp UB:30704339.205539953),  Gap: -193.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 57, Duration: 2138, LB: 90105810.18933748, (exp UB:31092937.71548989),  Gap: -189.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 58, Duration: 2175, LB: 90105810.18933748, (exp UB:30967998.12680402),  Gap: -190.96,  Fixed x: False,  Fixed thetavar: False  
Iteration: 59, Duration: 2213, LB: 90105810.18933748, (exp UB:30615072.94409397),  Gap: -194.32,  Fixed x: False,  Fixed thetavar: False  
Iteration: 60, Duration: 2248, LB: 90105810.18933748, (exp UB:33965264.90178314),  Gap: -165.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 61, Duration: 2285, LB: 90105810.18933748, (exp UB:29864773.146916896),  Gap: -201.71,  Fixed x: False,  Fixed thetavar: False  
Iteration: 62, Duration: 2320, LB: 90105810.18933748, (exp UB:31379056.044271432),  Gap: -187.15,  Fixed x: False,  Fixed thetavar: False  
Iteration: 63, Duration: 2357, LB: 90105810.18933748, (exp UB:33345870.581254892),  Gap: -170.22,  Fixed x: False,  Fixed thetavar: False  
Iteration: 64, Duration: 2406, LB: 90105810.18933748, (exp UB:33135759.139907744),  Gap: -171.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 65, Duration: 2444, LB: 90105810.18933748, (exp UB:34786634.08175255),  Gap: -159.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 66, Duration: 2482, LB: 90105810.18933748, (exp UB:33012434.25124458),  Gap: -172.95,  Fixed x: False,  Fixed thetavar: False  
Iteration: 67, Duration: 2519, LB: 90105810.18933748, (exp UB:32967242.5169246),  Gap: -173.32,  Fixed x: False,  Fixed thetavar: False  
Iteration: 68, Duration: 2556, LB: 90105810.18933748, (exp UB:29923431.113998543),  Gap: -201.12,  Fixed x: False,  Fixed thetavar: False  
Iteration: 69, Duration: 2593, LB: 90105810.18933748, (exp UB:28102335.861414205),  Gap: -220.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 70, Duration: 2630, LB: 90105810.18933748, (exp UB:30798597.60124985),  Gap: -192.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 71, Duration: 2679, LB: 90105810.18933748, (exp UB:29658382.281901278),  Gap: -203.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 72, Duration: 2717, LB: 90105810.18933748, (exp UB:32486746.054233592),  Gap: -177.36,  Fixed x: False,  Fixed thetavar: False  
Iteration: 73, Duration: 2755, LB: 90105810.18933748, (exp UB:32638026.62584903),  Gap: -176.08,  Fixed x: False,  Fixed thetavar: False  
Iteration: 74, Duration: 2793, LB: 90105810.18933748, (exp UB:32242966.62784656),  Gap: -179.46,  Fixed x: False,  Fixed thetavar: False  
Iteration: 75, Duration: 2831, LB: 90105810.18933748, (exp UB:32270817.970107865),  Gap: -179.22,  Fixed x: False,  Fixed thetavar: False  
Iteration: 76, Duration: 2874, LB: 90105810.18933748, (exp UB:28898222.82307045),  Gap: -211.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 77, Duration: 2915, LB: 90105810.18933748, (exp UB:35613571.44761813),  Gap: -153.01,  Fixed x: False,  Fixed thetavar: False  
Iteration: 78, Duration: 2957, LB: 90105810.18933748, (exp UB:26852220.935504008),  Gap: -235.56,  Fixed x: False,  Fixed thetavar: False  
Iteration: 79, Duration: 3006, LB: 90105810.18933748, (exp UB:32277639.92659367),  Gap: -179.16,  Fixed x: False,  Fixed thetavar: False  
Iteration: 80, Duration: 3039, LB: 90105810.18933748, (exp UB:32925300.830613874),  Gap: -173.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 81, Duration: 3072, LB: 90105810.18933748, (exp UB:30273960.131256707),  Gap: -197.63,  Fixed x: False,  Fixed thetavar: False  
Iteration: 82, Duration: 3106, LB: 90105810.18933748, (exp UB:30888276.327987604),  Gap: -191.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 83, Duration: 3137, LB: 90105810.18933748, (exp UB:29043189.774095863),  Gap: -210.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 84, Duration: 3173, LB: 90105810.18933748, (exp UB:30566410.82434402),  Gap: -194.79,  Fixed x: False,  Fixed thetavar: False  
Iteration: 85, Duration: 3210, LB: 90105810.18933748, (exp UB:33797968.35917831),  Gap: -166.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 86, Duration: 3240, LB: 90105810.18933748, (exp UB:30518930.043279327),  Gap: -195.25,  Fixed x: False,  Fixed thetavar: False  
Iteration: 87, Duration: 3276, LB: 90105810.18933748, (exp UB:35323309.379423566),  Gap: -155.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 88, Duration: 3326, LB: 90105810.18933748, (exp UB:30045635.352094542),  Gap: -199.90,  Fixed x: False,  Fixed thetavar: False  
Iteration: 89, Duration: 3361, LB: 90105810.18933748, (exp UB:30055255.32337209),  Gap: -199.80,  Fixed x: False,  Fixed thetavar: False  
Iteration: 90, Duration: 3395, LB: 90105810.18933748, (exp UB:28110524.93905021),  Gap: -220.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 91, Duration: 3428, LB: 90105810.18933748, (exp UB:32067280.444069922),  Gap: -180.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 92, Duration: 3465, LB: 90105810.18933748, (exp UB:31390605.579795197),  Gap: -187.05,  Fixed x: False,  Fixed thetavar: False  
Iteration: 93, Duration: 3501, LB: 90105810.18933748, (exp UB:28459196.893539187),  Gap: -216.61,  Fixed x: False,  Fixed thetavar: False  
Iteration: 94, Duration: 3533, LB: 90105810.18933748, (exp UB:32250593.05972667),  Gap: -179.39,  Fixed x: False,  Fixed thetavar: False  
Iteration: 95, Duration: 3569, LB: 90105810.18933748, (exp UB:30722531.0542244),  Gap: -193.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 96, Duration: 3603, LB: 90105810.18933748, (exp UB:33723950.29436696),  Gap: -167.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 97, Duration: 3655, LB: 90105810.18933748, (exp UB:27290719.15547926),  Gap: -230.17,  Fixed x: False,  Fixed thetavar: False  
Iteration: 98, Duration: 3691, LB: 90105810.18933748, (exp UB:33695335.90632112),  Gap: -167.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 99, Duration: 3726, LB: 90105810.18933748, (exp UB:31757296.427329548),  Gap: -183.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 100, Duration: 3764, LB: 90105810.18933748, (exp UB:32369258.441040635),  Gap: -178.37,  Fixed x: False,  Fixed thetavar: False  
Iteration: 101, Duration: 3798, LB: 90105810.18933748, (exp UB:27877857.378251523),  Gap: -223.22,  Fixed x: False,  Fixed thetavar: False  
Iteration: 102, Duration: 3834, LB: 90105810.18933748, (exp UB:28567333.600551054),  Gap: -215.42,  Fixed x: False,  Fixed thetavar: False  
Iteration: 103, Duration: 3870, LB: 90105810.18933748, (exp UB:29242056.314480633),  Gap: -208.14,  Fixed x: False,  Fixed thetavar: False  
Iteration: 104, Duration: 3903, LB: 90105810.18933748, (exp UB:28187243.850356348),  Gap: -219.67,  Fixed x: False,  Fixed thetavar: False  
Iteration: 105, Duration: 3940, LB: 90105810.18933748, (exp UB:29821247.567302097),  Gap: -202.15,  Fixed x: False,  Fixed thetavar: False  
Iteration: 106, Duration: 3979, LB: 90105810.18933748, (exp UB:33493761.846109293),  Gap: -169.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 107, Duration: 4011, LB: 90105810.18933748, (exp UB:31685463.772317752),  Gap: -184.38,  Fixed x: False,  Fixed thetavar: False  
Iteration: 108, Duration: 4062, LB: 90105810.18933748, (exp UB:32717045.799967963),  Gap: -175.41,  Fixed x: False,  Fixed thetavar: False  
Iteration: 109, Duration: 4099, LB: 90105810.18933748, (exp UB:32624694.82537943),  Gap: -176.19,  Fixed x: False,  Fixed thetavar: False  
Iteration: 110, Duration: 4142, LB: 90105810.18933748, (exp UB:29418497.097932138),  Gap: -206.29,  Fixed x: False,  Fixed thetavar: False  
Iteration: 111, Duration: 4181, LB: 90105810.18933748, (exp UB:30137777.29929106),  Gap: -198.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 112, Duration: 4218, LB: 90105810.18933748, (exp UB:26523671.79777312),  Gap: -239.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 113, Duration: 4253, LB: 90105810.18933748, (exp UB:30667713.697248362),  Gap: -193.81,  Fixed x: False,  Fixed thetavar: False  
Iteration: 114, Duration: 4293, LB: 90105810.18933748, (exp UB:31778983.827637628),  Gap: -183.54,  Fixed x: False,  Fixed thetavar: False  
Iteration: 115, Duration: 4329, LB: 90105810.18933748, (exp UB:33224833.784220293),  Gap: -171.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 116, Duration: 4366, LB: 90105810.18933748, (exp UB:34991889.60511551),  Gap: -157.50,  Fixed x: False,  Fixed thetavar: False  
Iteration: 117, Duration: 4403, LB: 90105810.18933748, (exp UB:30464816.10777124),  Gap: -195.77,  Fixed x: False,  Fixed thetavar: False  
Iteration: 118, Duration: 4442, LB: 90105810.18933748, (exp UB:32063970.38654758),  Gap: -181.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 119, Duration: 4482, LB: 90105810.18933748, (exp UB:29484732.71533425),  Gap: -205.60,  Fixed x: False,  Fixed thetavar: False  
Iteration: 120, Duration: 4542, LB: 90105810.18933748, (exp UB:27262955.378982097),  Gap: -230.51,  Fixed x: False,  Fixed thetavar: False  
Iteration: 121, Duration: 4579, LB: 90105810.18933748, (exp UB:32380791.285789408),  Gap: -178.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 122, Duration: 4619, LB: 90105810.18933748, (exp UB:32548125.56373898),  Gap: -176.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 123, Duration: 4659, LB: 90105810.18933748, (exp UB:34119338.91082645),  Gap: -164.09,  Fixed x: False,  Fixed thetavar: False  
Iteration: 124, Duration: 4697, LB: 90105810.18933748, (exp UB:30797244.977307994),  Gap: -192.58,  Fixed x: False,  Fixed thetavar: False  
