Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 1, Duration: 117, LB: 16597.955593090475, (exp UB:61599408.904463716),  Gap: 99.97,  Fixed x: False,  Fixed thetavar: False  
Iteration: 2, Duration: 122, LB: 16597.955593090475, (exp UB:139699682.8001304),  Gap: 99.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 3, Duration: 123, LB: 16597.955593090475, (exp UB:77704804.28013039),  Gap: 99.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 4, Duration: 125, LB: 16597.955593090475, (exp UB:136676308.54679704),  Gap: 99.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 5, Duration: 127, LB: 16597.955593090475, (exp UB:96109850.16013038),  Gap: 99.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 6, Duration: 128, LB: 16597.955593090475, (exp UB:86016565.83013037),  Gap: 99.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 7, Duration: 130, LB: 16597.955593090475, (exp UB:108959631.8634637),  Gap: 99.98,  Fixed x: False,  Fixed thetavar: False  
Iteration: 8, Duration: 132, LB: 16597.955593090475, (exp UB:147364313.9301304),  Gap: 99.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 9, Duration: 134, LB: 16597.955593090475, (exp UB:141358809.49346372),  Gap: 99.99,  Fixed x: False,  Fixed thetavar: False  
Iteration: 10, Duration: 135, LB: 16597.955593090475, (exp UB:125361132.20679702),  Gap: 99.99,  Fixed x: False,  Fixed thetavar: False  
Change stage 1 problem to integer 
Iteration: 11, Duration: 150, LB: 16598.169213750003, (exp UB:592901.4328325082),  Gap: 97.20,  Fixed x: False,  Fixed thetavar: False  
Iteration: 12, Duration: 156, LB: 16598.173060360426, (exp UB:1274242.5632093935),  Gap: 98.70,  Fixed x: False,  Fixed thetavar: False  
Iteration: 13, Duration: 161, LB: 16598.177510728892, (exp UB:321454.714222476),  Gap: 94.84,  Fixed x: False,  Fixed thetavar: False  
Iteration: 14, Duration: 166, LB: 16598.178990114906, (exp UB:515104.9291386307),  Gap: 96.78,  Fixed x: False,  Fixed thetavar: False  
Iteration: 15, Duration: 169, LB: 16598.251835083327, (exp UB:831973.9528792929),  Gap: 98.00,  Fixed x: False,  Fixed thetavar: False  
Iteration: 16, Duration: 183, LB: 18605.87940028904, (exp UB:340043.5863186694),  Gap: 94.53,  Fixed x: False,  Fixed thetavar: False  
Iteration: 17, Duration: 190, LB: 18636.566534410413, (exp UB:436830.35534619313),  Gap: 95.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 18, Duration: 201, LB: 18674.176097276664, (exp UB:943774.7138272191),  Gap: 98.02,  Fixed x: False,  Fixed thetavar: False  
Iteration: 19, Duration: 210, LB: 18704.908036545523, (exp UB:1084231.5731361643),  Gap: 98.27,  Fixed x: False,  Fixed thetavar: False  
Iteration: 20, Duration: 215, LB: 18764.33064370247, (exp UB:1090587.899377091),  Gap: 98.28,  Fixed x: False,  Fixed thetavar: False  
Iteration: 21, Duration: 221, LB: 18791.380704870557, (exp UB:826487.6009852459),  Gap: 97.73,  Fixed x: False,  Fixed thetavar: False  
Iteration: 22, Duration: 227, LB: 18891.142776832647, (exp UB:464105.83472244453),  Gap: 95.93,  Fixed x: False,  Fixed thetavar: False  
Iteration: 23, Duration: 232, LB: 18931.749308755225, (exp UB:831064.7495404028),  Gap: 97.72,  Fixed x: False,  Fixed thetavar: False  
Iteration: 24, Duration: 237, LB: 28975.52694800635, (exp UB:656043.219571729),  Gap: 95.58,  Fixed x: False,  Fixed thetavar: False  
Iteration: 25, Duration: 247, LB: 40619.488593592345, (exp UB:1593635.423763341),  Gap: 97.45,  Fixed x: False,  Fixed thetavar: False  
Iteration: 26, Duration: 257, LB: 40619.488593592345, (exp UB:1657659.8713734632),  Gap: 97.55,  Fixed x: False,  Fixed thetavar: False  
Iteration: 27, Duration: 262, LB: 40707.789038127295, (exp UB:183397.6826742856),  Gap: 77.80,  Fixed x: False,  Fixed thetavar: False  
